Nom Station;station_id;dh_utc;dh_utc_heure;proba_pluie;prediction;temperature_degC;humidite_%;pression_hPa;vent_moyen_km/h;pluie_1h_mm;alerte;Interpretation;Probabilite
Paris 6ème - Saint Germain des Prés;000CT;01/01/2025 00:00;00:00:00;0,000243935;0;5,8;90;1028,4;8;0;0;Aucune pluie;0,02
Paris 20ème - Porte de Vincennes;000EW;01/01/2025 00:00;00:00:00;0,000165735;0;5,3;92;1026,5;0,8;0;0;Aucune pluie;0,02
Paris 16ème - Trocadéro;ME098;01/01/2025 00:00;00:00:00;0,000307251;0;6,1;93;1022,9;0;0;0;Aucune pluie;0,03
Paris 6ème - Saint Germain des Prés;000CT;01/01/2025 01:00;01:00:00;0,000273067;0;5,8;87;1027,8;8;0;0;Aucune pluie;0,03
Paris 20ème - Porte de Vincennes;000EW;01/01/2025 01:00;01:00:00;0,000115261;0;5,1;92;1025,8;0,8;0;0;Aucune pluie;0,01
Paris 16ème - Trocadéro;ME098;01/01/2025 01:00;01:00:00;0,000115495;0;5,9;91;1022,4;0;0;0;Aucune pluie;0,01
Paris 6ème - Saint Germain des Prés;000CT;01/01/2025 02:00;02:00:00;0,00013647;0;5,2;88;1026,9;11,3;0;0;Aucune pluie;0,01
Paris 16ème - Trocadéro;ME098;01/01/2025 02:00;02:00:00;9,96E-05;0;5,7;90;1021,5;0;0;0;Aucune pluie;0,01
Paris 6ème - Saint Germain des Prés;000CT;01/01/2025 03:00;03:00:00;0,00014131;0;4,9;88;1026,5;6,4;0;0;Aucune pluie;0,01
Paris 16ème - Trocadéro;ME098;01/01/2025 03:00;03:00:00;9,07E-05;0;5,3;91;1021;0;0;0;Aucune pluie;0,01
Paris 6ème - Saint Germain des Prés;000CT;01/01/2025 04:00;04:00:00;0,000428176;0;5;89;1026,1;8;0;0;Aucune pluie;0,04
Paris 6ème - Saint Germain des Prés;000CT;01/01/2025 05:00;05:00:00;8,79E-05;0;5;89;1025,6;8;0;0;Aucune pluie;0,01
Paris 6ème - Saint Germain des Prés;000CT;01/01/2025 06:00;06:00:00;0,000203621;0;4,9;90;1024,9;9,7;0;0;Aucune pluie;0,02
Paris 20ème - Porte de Vincennes;000EW;01/01/2025 06:00;06:00:00;6,74E-05;0;4,6;93;1023;0,8;0;0;Aucune pluie;0,01
Paris 6ème - Saint Germain des Prés;000CT;01/01/2025 07:00;07:00:00;0,000198682;0;5;90;1024,2;6,4;0;0;Aucune pluie;0,02
Paris 20ème - Porte de Vincennes;000EW;01/01/2025 07:00;07:00:00;8,98E-05;0;4,7;92;1022,1;1,6;0;0;Aucune pluie;0,01
Paris 6ème - Saint Germain des Prés;000CT;01/01/2025 08:00;08:00:00;8,41E-05;0;5,2;89;1024,3;6,4;0;0;Aucune pluie;0,01
Paris 20ème - Porte de Vincennes;000EW;01/01/2025 08:00;08:00:00;0,000117842;0;4,9;91;1022,3;0,8;0;0;Aucune pluie;0,01
Paris 6ème - Saint Germain des Prés;000CT;01/01/2025 09:00;09:00:00;0,000103065;0;5,4;89;1023,6;11,3;0;0;Aucune pluie;0,01
Paris 20ème - Porte de Vincennes;000EW;01/01/2025 09:00;09:00:00;0,000367022;0;5,4;91;1021,6;2,4;0;0;Aucune pluie;0,04
Paris 16ème - Trocadéro;ME098;01/01/2025 09:00;09:00:00;0,00021992;0;5,9;92;1017,8;0;0;0;Aucune pluie;0,02
Paris 6ème - Saint Germain des Prés;000CT;01/01/2025 10:00;10:00:00;0,00034478;0;6,3;89;1023,2;11,3;0;0;Aucune pluie;0,03
Paris 20ème - Porte de Vincennes;000EW;01/01/2025 10:00;10:00:00;0,000115586;0;6,2;90;1021,2;6,4;0;0;Aucune pluie;0,01
Paris 16ème - Trocadéro;ME098;01/01/2025 10:00;10:00:00;0,000208194;0;6,7;91;1017,8;0;0;0;Aucune pluie;0,02
Paris 6ème - Saint Germain des Prés;000CT;01/01/2025 11:00;11:00:00;0,000245172;0;6,5;88;1022,9;11,3;0;0;Aucune pluie;0,02
Paris 20ème - Porte de Vincennes;000EW;01/01/2025 11:00;11:00:00;0,000140244;0;6,4;90;1021;6,4;0;0;Aucune pluie;0,01
Paris 16ème - Trocadéro;ME098;01/01/2025 11:00;11:00:00;0,000199953;0;6,9;90;1017,1;0;0;0;Aucune pluie;0,02
Paris 6ème - Saint Germain des Prés;000CT;01/01/2025 12:00;12:00:00;0,000270544;0;6,9;87;1022,2;9,7;0;0;Aucune pluie;0,03
Paris 20ème - Porte de Vincennes;000EW;01/01/2025 12:00;12:00:00;0,00015668;0;6,9;89;1020,1;4,8;0;0;Aucune pluie;0,02
Paris 16ème - Trocadéro;ME098;01/01/2025 12:00;12:00:00;0,000228276;0;7,2;90;1016,4;0;0;0;Aucune pluie;0,02
Paris 6ème - Saint Germain des Prés;000CT;01/01/2025 13:00;13:00:00;0,000279888;0;7,2;86;1020,9;11,3;0;0;Aucune pluie;0,03
Paris 20ème - Porte de Vincennes;000EW;01/01/2025 13:00;13:00:00;0,000252229;0;7,2;87;1018,9;2,4;0;0;Aucune pluie;0,03
Paris 16ème - Trocadéro;ME098;01/01/2025 13:00;13:00:00;0,00028181;0;7,4;89;1015,1;0;0;0;Aucune pluie;0,03
Paris 6ème - Saint Germain des Prés;000CT;01/01/2025 14:00;14:00:00;0,000162499;0;7,8;85;1020;9,7;0;0;Aucune pluie;0,02
