station_id;dh_utc;temperature_degC;pression_hPa;humidite_%;point_de_rosee_degC;vent_moyen_km/h;vent_rafales_km/h;vent_direction_deg;pluie_3h_mm;pluie_1h_mm
000BV;2025-04-01 00:00:00;9.2;1022.8;62;2.2;12.9;;53;;
000BV;2025-04-01 00:10:00;9.1;1022.7;62;2.2;17.7;;77;;
000BV;2025-04-01 00:20:00;8.9;1022.7;63;2.2;17.7;;61;;
000BV;2025-04-01 00:30:00;8.8;1022.6;63;2.2;16.1;;61;;
000BV;2025-04-01 00:40:00;8.7;1022.5;63;2.2;14.5;;67;;
000BV;2025-04-01 00:50:00;8.6;1022.4;63;1.7;16.1;;56;;
000BV;2025-04-01 01:00:00;8.5;1022.2;64;2.2;14.5;;103;;
000BV;2025-04-01 01:10:00;8.4;1022.1;64;1.7;14.5;;93;;
000BV;2025-04-01 01:20:00;8.4;1022.1;64;1.7;12.9;;113;;
000BV;2025-04-01 01:30:00;8.3;1021.9;65;2.2;11.3;;46;;
000BV;2025-04-01 01:40:00;8.3;1021.8;64;1.7;8;;57;;
000BV;2025-04-01 01:50:00;8.3;1021.8;64;1.7;8;;75;;
000BV;2025-04-01 02:00:00;8.3;1021.7;64;1.7;9.7;;55;;
000BV;2025-04-01 02:10:00;8.3;1021.6;64;1.7;11.3;;48;;
000BV;2025-04-01 02:20:00;8.2;1021.5;64;1.7;9.7;;72;;
000BV;2025-04-01 02:30:00;8.2;1021.5;64;1.7;12.9;;64;;
000BV;2025-04-01 02:40:00;8.2;1021.4;63;1.7;12.9;;71;;
000BV;2025-04-01 02:50:00;8.1;1021.3;64;1.7;14.5;;65;;
000BV;2025-04-01 03:00:00;8;1021.2;64;1.7;12.9;;115;;
000BV;2025-04-01 03:10:00;7.9;1021.2;64;1.7;14.5;;117;;
000BV;2025-04-01 03:20:00;7.9;1021.1;64;1.7;16.1;;121;;
000BV;2025-04-01 03:30:00;7.8;1021.2;64;1.1;14.5;;109;;
000BV;2025-04-01 03:40:00;7.8;1021;64;1.1;14.5;;20;;
000BV;2025-04-01 03:50:00;7.7;1021;64;1.1;16.1;;70;;
000BV;2025-04-01 04:00:00;7.6;1021.1;64;1.1;17.7;;64;;
000BV;2025-04-01 04:10:00;7.6;1021;65;1.1;17.7;;74;;
000BV;2025-04-01 04:20:00;7.5;1020.8;65;1.1;17.7;;10;;
000BV;2025-04-01 04:30:00;7.4;1021;65;1.1;14.5;;89;;
000BV;2025-04-01 04:40:00;7.4;1021;65;1.1;16.1;;75;;
