station_id;dh_utc;temperature_degC;pression_hPa;humidite_%;point_de_rosee_degC;vent_moyen_km/h;vent_rafales_km/h;vent_direction_deg;pluie_3h_mm;pluie_1h_mm
000CT;2025-10-01 00:00:00;13.5;1028;78;9.7;6.4;;338;0;0
000CT;2025-10-01 00:30:00;13.3;1028.1;79;9.7;4.8;;355;;
000CT;2025-10-01 01:00:00;13.1;1028;80;9.7;4.8;;24;0;0
000CT;2025-10-01 01:30:00;13.2;1028;80;9.8;3.2;;22;;
000CT;2025-10-01 02:00:00;13.1;1027.9;80;9.7;4.8;;20;0;0
000CT;2025-10-01 02:30:00;13;1027.9;81;9.8;4.8;;33;;
000CT;2025-10-01 03:00:00;12.8;1027.8;81;9.7;4.8;;50;0;0
000CT;2025-10-01 03:30:00;12.6;1027.8;82;9.6;4.8;;44;;
000CT;2025-10-01 04:00:00;12.4;1027.9;83;9.6;4.8;;21;0;0
000CT;2025-10-01 04:30:00;12.3;1028.1;83;9.5;4.8;;330;;
000CT;2025-10-01 05:00:00;12.2;1028.3;83;9.4;3.2;;350;0;0
000CT;2025-10-01 05:30:00;12.2;1028.6;84;9.5;1.6;;333;;
000CT;2025-10-01 06:00:00;12.1;1028.7;84;9.4;3.2;;346;0;0
000CT;2025-10-01 06:30:00;12;1029;84;9.4;3.2;;323;;
000CT;2025-10-01 07:00:00;12.2;1029;84;9.6;1.6;;316;0;0
000CT;2025-10-01 07:30:00;12.5;1029.2;83;9.7;3.2;;17;;
000CT;2025-10-01 08:00:00;12.9;1029.2;82;9.9;3.2;;329;0;0
000CT;2025-10-01 08:30:00;13.7;1029.4;80;10.3;4.8;;350;;
000CT;2025-10-01 09:00:00;14.2;1029.4;78;10.4;4.8;;16;0;0
000CT;2025-10-01 09:30:00;15.3;1029.6;74;10.7;3.2;;321;;
000CT;2025-10-01 10:00:00;16.3;1029.6;70;10.8;3.2;;331;0;0
000CT;2025-10-01 10:30:00;16.9;1029.5;65;10.3;1.6;;61;;
000CT;2025-10-01 11:00:00;17.7;1029.3;61;10.1;3.2;;126;0;0
000CT;2025-10-01 11:30:00;18.1;1029.2;54;8.6;4.8;;26;;
000CT;2025-10-01 12:00:00;18.7;1029.1;52;8.6;3.2;;144;0;0
000CT;2025-10-01 12:30:00;19;1028.9;51;8.6;6.4;;21;;
000CT;2025-10-01 13:00:00;19.7;1028.8;50;9;3.2;;339;0;0
000CT;2025-10-01 13:30:00;19.5;1028.8;51;9.1;3.2;;69;;
000CT;2025-10-01 14:00:00;19.7;1028.6;51;9.3;4.8;;69;0;0
000CT;2025-10-01 14:30:00;19.8;1028.5;51;9.4;3.2;;63;;
000CT;2025-10-01 15:00:00;19.9;1028.4;51;9.4;3.2;;94;0;0
000CT;2025-10-01 15:30:00;19.5;1028.2;53;9.7;4.8;;107;;
000CT;2025-10-01 16:00:00;19.2;1028.3;54;9.7;6.4;;95;0;0
000CT;2025-10-01 16:30:00;19.1;1028.3;54;9.6;3.2;;48;;
000CT;2025-10-01 17:00:00;18.8;1028.4;55;9.5;3.2;;13;0;0
000CT;2025-10-01 17:30:00;18.5;1028.5;57;9.8;3.2;;74;;
000CT;2025-10-01 18:00:00;18.2;1028.7;59;10;3.2;;106;0;0
000CT;2025-10-01 18:30:00;17.8;1028.9;62;10.4;3.2;;102;;
000CT;2025-10-01 19:00:00;17.5;1028.9;62;10.1;1.6;;98;0;0
000CT;2025-10-01 19:30:00;17.3;1029;64;10.5;0;;98;;
000CT;2025-10-01 20:00:00;17.2;1029;65;10.5;1.6;;139;0;0
000CT;2025-10-01 20:30:00;17.1;1028.9;65;10.4;0;;92;;
000CT;2025-10-01 21:00:00;16.9;1029;65;10.3;0;;99;0;0
000CT;2025-10-01 21:30:00;16.9;1028.8;66;10.5;1.6;;120;;
000CT;2025-10-01 22:00:00;16.7;1028.7;66;10.3;4.8;;159;0;0
000CT;2025-10-01 22:30:00;16;1028.7;69;10.3;0;;112;;
000CT;2025-10-01 23:00:00;15.9;1028.6;71;10.6;0;;138;0;0
000CT;2025-10-01 23:30:00;15.7;1028.6;71;10.5;0;;148;;
000CT;2025-10-02 00:00:00;15.3;1028.6;73;10.5;0;;148;0;0
000CT;2025-10-02 00:30:00;15.1;1028.7;73;10.3;0;;142;;
000CT;2025-10-02 01:00:00;14.9;1028.8;74;10.3;0;;149;0;0
000CT;2025-10-02 01:30:00;14.4;1028.6;74;9.9;1.6;;142;;
000CT;2025-10-02 02:00:00;14.4;1028.3;73;9.6;1.6;;140;0;0
000CT;2025-10-02 02:30:00;14.1;1028.1;74;9.5;1.6;;144;;
000CT;2025-10-02 03:00:00;13.8;1028.1;76;9.6;1.6;;140;0;0
000CT;2025-10-02 03:30:00;13.5;1028.1;76;9.4;1.6;;136;;
000CT;2025-10-02 04:00:00;13.3;1028.1;77;9.3;1.6;;143;0;0
000CT;2025-10-02 04:30:00;13.2;1028.1;76;9;1.6;;141;;
000CT;2025-10-02 05:00:00;13;1028.2;77;9.1;0;;159;0;0
000CT;2025-10-02 05:30:00;12.6;1028.3;78;8.8;0;;161;;
000CT;2025-10-02 06:00:00;12.4;1028.4;77;8.5;0;;173;0;0
000CT;2025-10-02 06:30:00;12.5;1028.5;76;8.4;1.6;;149;;
000CT;2025-10-02 07:00:00;12.8;1028.9;73;8.1;1.6;;115;0;0
000CT;2025-10-02 07:30:00;12.9;1029;73;8.2;1.6;;170;;
000CT;2025-10-02 08:00:00;13.8;1029;68;8;4.8;;143;0;0
000CT;2025-10-02 08:30:00;14.7;1028.8;64;7.9;3.2;;135;;
000CT;2025-10-02 09:00:00;15.6;1028.8;59;7.6;4.8;;271;0;0
000CT;2025-10-02 09:30:00;15.9;1028.7;53;6.3;4.8;;112;;
000CT;2025-10-02 10:00:00;16.9;1028.3;49;6.1;4.8;;74;0;0
000CT;2025-10-02 10:30:00;17.3;1027.8;48;6.2;4.8;;113;;
000CT;2025-10-02 11:00:00;17.5;1027.6;47;6.1;6.4;;157;0;0
000CT;2025-10-02 11:30:00;18.3;1027.4;45;6.2;4.8;;119;;
000CT;2025-10-02 12:00:00;18.6;1027.3;44;6.1;3.2;;136;0;0
000CT;2025-10-02 12:30:00;18.7;1026.9;43;5.9;3.2;;123;;
000CT;2025-10-02 13:00:00;19.2;1026.7;42;5.9;3.2;;59;0;0
000CT;2025-10-02 13:30:00;18.9;1026.3;43;6;3.2;;109;;
000CT;2025-10-02 14:00:00;18.9;1026;43;6;4.8;;55;0;0
000CT;2025-10-02 14:30:00;18.9;1025.5;43;6.1;4.8;;120;;
000CT;2025-10-02 15:00:00;18.6;1025.3;45;6.4;3.2;;177;0;0
000CT;2025-10-02 15:30:00;18.3;1025.2;45;6.1;4.8;;111;;
000CT;2025-10-02 16:00:00;17.8;1025.1;45;5.7;4.8;;153;0;0
000CT;2025-10-02 16:30:00;17.6;1024.8;47;6.1;4.8;;83;;
000CT;2025-10-02 17:00:00;17.2;1024.8;49;6.4;4.8;;161;0;0
000CT;2025-10-02 17:30:00;16.9;1024.9;49;6.1;3.2;;109;;
000CT;2025-10-02 18:00:00;16.6;1024.9;52;6.7;4.8;;117;0;0
000CT;2025-10-02 18:30:00;16.4;1024.9;54;7.1;4.8;;165;;
000CT;2025-10-02 19:00:00;16.1;1024.8;55;7;3.2;;130;0;0
000CT;2025-10-02 19:30:00;15.8;1024.8;56;7.1;1.6;;131;;
000CT;2025-10-02 20:00:00;15.6;1024.4;55;6.6;4.8;;141;0;0
000CT;2025-10-02 20:30:00;15.4;1024;56;6.7;6.4;;75;;
000CT;2025-10-02 21:00:00;15.2;1024.3;56;6.4;3.2;;164;0;0
000CT;2025-10-02 21:30:00;14.9;1024;57;6.5;4.8;;142;;
000CT;2025-10-02 22:00:00;14.9;1023.2;58;6.7;4.8;;140;0;0
000CT;2025-10-02 22:30:00;14.9;1023.2;59;6.9;3.2;;208;;
000CT;2025-10-02 23:00:00;14.6;1022.7;60;6.9;3.2;;150;0;0
000CT;2025-10-02 23:30:00;14.5;1022.5;60;6.8;4.8;;149;;
000CT;2025-10-03 00:00:00;14.4;1022.7;61;7;3.2;;167;0;0
000CT;2025-10-03 00:30:00;14.2;1022;61;6.8;6.4;;107;;
