station_id;dh_utc;temperature_degC;pression_hPa;humidite_%;point_de_rosee_degC;vent_moyen_km/h;vent_rafales_km/h;vent_direction_deg;pluie_3h_mm;pluie_1h_mm
000CT;2025-07-01 00:00:00;29.4;1016.2;52;18.5;0;;288;0;0
000CT;2025-07-01 00:30:00;28.9;1016;54;18.6;0;;288;;
000CT;2025-07-01 01:00:00;28.4;1015.9;56;18.8;0;;288;0;0
000CT;2025-07-01 01:30:00;28.3;1015.8;55;18.4;0;;288;;
000CT;2025-07-01 02:00:00;28.2;1015.8;55;18.3;0;;273;0;0
000CT;2025-07-01 02:30:00;27.7;1015.8;58;18.7;0;;273;;
000CT;2025-07-01 03:00:00;27.6;1015.6;55;17.8;0;;273;0;0
000CT;2025-07-01 03:30:00;27.3;1015.6;58;18.3;0;;273;;
000CT;2025-07-01 04:00:00;26.9;1015.6;59;18.3;0;;273;0;0
000CT;2025-07-01 04:30:00;26.9;1015.5;60;18.5;0;;273;;
000CT;2025-07-01 05:00:00;27.1;1015.6;60;18.7;0;;273;0;0
000CT;2025-07-01 05:30:00;27.4;1015.5;57;18.1;3.2;;150;;
000CT;2025-07-01 06:00:00;28;1015.6;56;18.4;3.2;;190;0;0
000CT;2025-07-01 06:30:00;29.1;1015.6;55;19.1;1.6;;136;;
000CT;2025-07-01 07:00:00;29.4;1015.8;55;19.5;1.6;;179;0;0
000CT;2025-07-01 07:30:00;30.1;1015.8;52;19.2;4.8;;115;;
000CT;2025-07-01 08:30:00;32.6;1015.9;41;17.6;4.8;;165;;
000CT;2025-07-01 09:00:00;33.5;1015.8;38;17.2;6.4;;182;0;0
000CT;2025-07-01 09:30:00;34.3;1015.5;36;17.1;4.8;;225;;
000CT;2025-07-01 10:00:00;34.9;1015.5;34;16.7;6.4;;144;0;0
000CT;2025-07-01 10:30:00;35;1015.5;34;16.8;8;;151;;
000CT;2025-07-01 11:00:00;35.1;1015.3;34;16.8;9.7;;200;0;0
000CT;2025-07-01 11:30:00;35.8;1015.2;33;17.1;9.7;;173;;
000CT;2025-07-01 12:00:00;36.5;1015;31;16.6;4.8;;246;0;0
000CT;2025-07-01 12:30:00;36.6;1014.8;29;15.6;9.7;;186;;
000CT;2025-07-01 13:00:00;37;1014.7;28;15.5;8;;178;0;0
000CT;2025-07-01 13:30:00;37.4;1014.7;26;14.7;6.4;;10;;
000CT;2025-07-01 14:00:00;37;1014.5;29;16;8;;306;0;0
000CT;2025-07-01 14:30:00;37.2;1014.3;29;16.2;6.4;;224;;
000CT;2025-07-01 15:00:00;37.4;1014.2;28;15.8;6.4;;209;0;0
000CT;2025-07-01 15:30:00;37.7;1014;28;16.1;8;;326;;
000CT;2025-07-01 16:00:00;37.8;1013.8;28;16.1;4.8;;183;0;0
000CT;2025-07-01 16:30:00;38.1;1013.6;25;14.7;4.8;;268;;
000CT;2025-07-01 17:00:00;38.1;1013.5;25;14.6;4.8;;267;0;0
000CT;2025-07-01 17:30:00;37.9;1013.4;26;15.1;4.8;;206;;
000CT;2025-07-01 18:00:00;37.7;1013.3;26;14.9;4.8;;184;0;0
000CT;2025-07-01 18:30:00;37.7;1013.3;26;14.9;1.6;;273;;
000CT;2025-07-01 19:00:00;37.4;1013.4;27;15.3;1.6;;271;0;0
000CT;2025-07-01 19:30:00;36.8;1013.4;28;15.3;1.6;;271;;
000CT;2025-07-01 20:00:00;36.1;1013.6;30;15.8;0;;271;0;0
000CT;2025-07-01 20:30:00;34.9;1014;35;17.2;3.2;;317;;
000CT;2025-07-01 21:00:00;33.7;1014.4;42;19;4.8;;355;0;0
000CT;2025-07-01 21:30:00;31.6;1014.6;53;20.9;8;;32;;
000CT;2025-07-01 22:00:00;30.6;1014.7;57;21.1;8;;36;0;0
000CT;2025-07-01 22:30:00;29.9;1014.9;59;21;6.4;;335;;
000CT;2025-07-01 23:00:00;29.3;1014.8;60;20.8;6.4;;13;0;0
000CT;2025-07-01 23:30:00;28.9;1014.6;61;20.7;4.8;;327;;
000CT;2025-07-02 00:00:00;28.7;1014.5;62;20.7;4.8;;39;0;0
000CT;2025-07-02 00:30:00;28.2;1014.3;63;20.5;8;;10;;
000CT;2025-07-02 01:00:00;27.9;1014.3;63;20.2;4.8;;15;0;0
000CT;2025-07-02 01:30:00;27.6;1014.4;63;19.9;6.4;;336;;
000CT;2025-07-02 02:00:00;26.9;1014.4;63;19.3;6.4;;343;0;0
000CT;2025-07-02 02:30:00;26.2;1014.6;63;18.6;8;;355;;
000CT;2025-07-02 03:00:00;25.6;1014.4;65;18.5;6.4;;334;0;0
000CT;2025-07-02 03:30:00;24.8;1014.4;67;18.3;6.4;;360;;
000CT;2025-07-02 04:00:00;24.5;1014.5;68;18.2;6.4;;13;0;0
000CT;2025-07-02 04:30:00;23.9;1014.6;69;17.9;8;;38;;
000CT;2025-07-02 05:00:00;23.7;1014.6;69;17.7;6.4;;315;0;0
000CT;2025-07-02 05:30:00;23.7;1014.7;69;17.7;6.4;;340;;
000CT;2025-07-02 06:00:00;23.7;1015;69;17.6;8;;316;0;0
000CT;2025-07-02 06:30:00;24.1;1015.1;68;17.8;8;;22;;
000CT;2025-07-02 07:00:00;24.7;1015;66;17.9;6.4;;29;0;0
000CT;2025-07-02 07:30:00;25.4;1014.9;65;18.3;6.4;;69;;
000CT;2025-07-02 08:00:00;26.2;1014.9;62;18.3;4.8;;336;0;0
000CT;2025-07-02 08:30:00;26.9;1014.9;60;18.5;8;;302;;
000CT;2025-07-02 09:00:00;27.9;1014.7;58;18.9;3.2;;215;0;0
000CT;2025-07-02 09:30:00;28.9;1014.9;56;19.2;6.4;;321;;
000CT;2025-07-02 10:00:00;29.7;1014.9;54;19.4;6.4;;330;0;0
000CT;2025-07-02 10:30:00;30.1;1014.9;53;19.5;9.7;;293;;
000CT;2025-07-02 11:00:00;30.9;1015.1;52;19.9;8;;333;0;0
000CT;2025-07-02 11:30:00;31.3;1015;49;19.3;9.7;;286;;
000CT;2025-07-02 12:00:00;31.4;1014.8;48;19.1;9.7;;257;0;0
000CT;2025-07-02 12:30:00;31.9;1014.8;48;19.6;11.3;;315;;
000CT;2025-07-02 13:00:00;32.4;1015.2;47;19.6;12.9;;269;0;0
000CT;2025-07-02 13:30:00;31.7;1015.7;48;19.4;19.3;;345;;
000CT;2025-07-02 14:00:00;29.3;1016.4;53;18.7;20.9;;293;0;0
000CT;2025-07-02 14:30:00;27.6;1016.8;57;18.3;22.5;;24;;
000CT;2025-07-02 15:00:00;27.4;1016.8;51;16.4;20.9;;43;0;0
000CT;2025-07-02 15:30:00;27.4;1016.7;52;16.7;12.9;;32;;
000CT;2025-07-02 16:00:00;25.6;1016.7;56;16.2;19.3;;341;0;0
000CT;2025-07-02 16:30:00;23.8;1017.5;64;16.6;16.1;;355;;
000CT;2025-07-02 17:00:00;21.1;1018.3;71;15.6;20.9;;333;0;0
000CT;2025-07-02 17:30:00;21.7;1018.7;64;14.6;16.1;;340;;
000CT;2025-07-02 18:00:00;22.1;1019;60;13.9;19.3;;330;0;0
000CT;2025-07-02 18:30:00;22;1019.6;61;14.1;17.7;;355;;
000CT;2025-07-02 19:00:00;21.6;1020.2;65;14.7;14.5;;339;0;0
000CT;2025-07-02 19:30:00;21.5;1020.6;66;14.9;12.9;;360;;
000CT;2025-07-02 20:00:00;21.4;1021.1;67;15;12.9;;332;0;0
000CT;2025-07-02 20:30:00;21.1;1021.7;69;15.2;14.5;;318;;
000CT;2025-07-02 21:00:00;20.4;1022.2;72;15.2;16.1;;355;0;0
000CT;2025-07-02 21:30:00;20.3;1022.5;73;15.3;12.9;;319;;
000CT;2025-07-02 22:00:00;20.1;1022.7;75;15.5;17.7;;289;0;0
000CT;2025-07-02 22:30:00;19.8;1022.7;75;15.2;17.7;;314;;
000CT;2025-07-02 23:00:00;19.5;1023;76;15.2;14.5;;299;0;0
000CT;2025-07-02 23:30:00;19.4;1023.4;77;15.3;11.3;;319;;
000CT;2025-07-03 00:00:00;18.9;1023.6;78;15;12.9;;305;0;0
000CT;2025-07-03 00:30:00;18.7;1023.7;78;14.8;14.5;;340;;
000CT;2025-07-03 01:00:00;18.5;1023.9;79;14.8;11.3;;335;0;0
000CT;2025-07-03 01:30:00;18.4;1024.3;79;14.7;9.7;;311;;
000CT;2025-07-03 02:00:00;18.3;1024.3;80;14.8;9.7;;294;0;0
000CT;2025-07-03 02:30:00;18.2;1024.5;81;14.9;11.3;;355;;
000CT;2025-07-03 03:00:00;18.2;1024.9;81;14.9;8;;355;0;0
000CT;2025-07-03 03:30:00;18.2;1025.3;79;14.5;9.7;;51;;
000CT;2025-07-03 04:00:00;18.1;1025.5;79;14.4;8;;5;0;0
000CT;2025-07-03 04:30:00;18;1025.8;75;13.5;11.3;;346;;
000CT;2025-07-03 05:00:00;18.1;1026.4;75;13.6;9.7;;355;0;0
000CT;2025-07-03 05:30:00;18.1;1026.7;76;13.8;9.7;;19;;
000CT;2025-07-03 06:00:00;18.4;1026.9;74;13.7;8;;343;0;0
000CT;2025-07-03 06:30:00;18.6;1027.2;73;13.7;6.4;;49;;
000CT;2025-07-03 07:00:00;18.8;1027.6;73;13.9;9.7;;5;0;0
000CT;2025-07-03 07:30:00;19.3;1027.6;70;13.7;6.4;;342;;
000CT;2025-07-03 08:00:00;19.5;1027.8;65;12.7;9.7;;15;0;0
000CT;2025-07-03 08:30:00;20.9;1027.9;59;12.6;6.4;;355;;
000CT;2025-07-03 09:00:00;21;1028;52;10.8;11.3;;30;0;0
000CT;2025-07-03 09:30:00;21.5;1028.2;50;10.6;11.3;;53;;
000CT;2025-07-03 10:00:00;21.9;1028.4;46;9.8;11.3;;355;0;0
000CT;2025-07-03 10:30:00;22.2;1028.4;44;9.3;12.9;;360;;
000CT;2025-07-03 11:00:00;22.6;1028.4;42;9;11.3;;52;0;0
000CT;2025-07-03 11:30:00;23.4;1028.3;39;8.6;9.7;;22;;
000CT;2025-07-03 12:00:00;23.9;1028.1;37;8.3;8;;67;0;0
000CT;2025-07-03 12:30:00;23.7;1027.8;39;8.9;14.5;;355;;
000CT;2025-07-03 13:00:00;23.9;1027.7;37;8.4;9.7;;350;0;0
000CT;2025-07-03 13:30:00;24.9;1027.6;35;8.4;8;;40;;
000CT;2025-07-03 14:00:00;24.7;1027.4;36;8.6;11.3;;330;0;0
000CT;2025-07-03 14:30:00;25.1;1027.3;34;8.1;11.3;;340;;
000CT;2025-07-03 15:00:00;25.3;1027;35;8.7;8;;27;0;0
000CT;2025-07-03 15:30:00;25.2;1026.8;34;8.2;12.9;;5;;
000CT;2025-07-03 16:00:00;25.6;1026.7;32;7.7;9.7;;27;0;0
000CT;2025-07-03 16:30:00;25.3;1026.7;31;7;11.3;;16;;
000CT;2025-07-03 17:00:00;25.4;1026.6;31;7;9.7;;19;0;0
000CT;2025-07-03 17:30:00;25.2;1026.5;31;6.9;9.7;;330;;
000CT;2025-07-03 18:00:00;24.9;1026.5;32;7.1;11.3;;61;0;0
000CT;2025-07-03 18:30:00;24.8;1026.8;32;7;9.7;;337;;
000CT;2025-07-03 19:00:00;24.5;1026.9;33;7.2;9.7;;351;0;0
000CT;2025-07-03 19:30:00;24;1027;35;7.6;12.9;;34;;
000CT;2025-07-03 20:00:00;23.6;1027.4;36;7.7;9.7;;57;0;0
000CT;2025-07-03 20:30:00;23.1;1027.9;39;8.3;11.3;;27;;
000CT;2025-07-03 21:00:00;22.6;1028.3;41;8.7;11.3;;5;0;0
000CT;2025-07-03 21:30:00;22.3;1028.6;43;9.1;9.7;;11;;
000CT;2025-07-03 22:00:00;20.9;1028.8;52;10.7;12.9;;338;0;0
000CT;2025-07-03 22:30:00;20.2;1029.1;56;11.1;12.9;;9;;
000CT;2025-07-03 23:00:00;19.8;1029.2;57;11.1;8;;337;0;0
000CT;2025-07-03 23:30:00;19.6;1029.3;57;10.8;4.8;;330;;
000CT;2025-07-04 00:00:00;19.1;1029.4;57;10.4;6.4;;22;0;0
000CT;2025-07-04 00:30:00;18.8;1029.4;58;10.3;8;;18;;
000CT;2025-07-04 01:00:00;18.6;1029.3;59;10.4;8;;315;0;0
000CT;2025-07-04 01:30:00;18.1;1029.2;60;10.2;9.7;;5;;
000CT;2025-07-04 02:00:00;17.9;1029.3;60;10;4.8;;54;0;0
000CT;2025-07-04 02:30:00;17.8;1029.2;60;9.9;6.4;;17;;
000CT;2025-07-04 03:00:00;17.6;1029.1;60;9.7;6.4;;15;0;0
000CT;2025-07-04 03:30:00;17.4;1029;61;9.8;4.8;;11;;
000CT;2025-07-04 04:00:00;17.3;1029.2;62;9.9;4.8;;5;0;0
000CT;2025-07-04 04:30:00;17.3;1029.4;61;9.7;4.8;;40;;
000CT;2025-07-04 05:00:00;17.5;1029.6;61;9.9;4.8;;51;0;0
000CT;2025-07-04 05:30:00;17.7;1029.9;61;10;6.4;;76;;
000CT;2025-07-04 06:00:00;17.8;1030;60;9.9;4.8;;42;0;0
000CT;2025-07-04 06:30:00;17.9;1030;59;9.8;6.4;;49;;
