station_id;dh_utc;temperature_degC;pression_hPa;humidite_%;point_de_rosee_degC;vent_moyen_km/h;vent_rafales_km/h;vent_direction_deg;pluie_3h_mm;pluie_1h_mm
000CT;2025-01-01 00:00:00;5.8;1028.4;90;4.3;8;;173;0;0
000CT;2025-01-01 00:30:00;5.9;1028.2;89;4.2;6.4;;164;;
000CT;2025-01-01 01:00:00;5.8;1027.8;87;3.8;8;;241;0;0
000CT;2025-01-01 01:30:00;5.6;1027.3;88;3.7;6.4;;192;;
000CT;2025-01-01 02:00:00;5.2;1026.9;88;3.4;11.3;;164;0;0
000CT;2025-01-01 02:30:00;4.9;1026.7;88;3.1;12.9;;246;;
000CT;2025-01-01 03:00:00;4.9;1026.5;88;3.1;6.4;;253;0;0
000CT;2025-01-01 03:30:00;5;1026.5;88;3.2;4.8;;160;;
000CT;2025-01-01 04:00:00;5;1026.1;89;3.3;8;;179;0;0
000CT;2025-01-01 04:30:00;5;1025.8;88;3.2;6.4;;177;;
000CT;2025-01-01 05:00:00;5;1025.6;89;3.3;8;;187;0;0
000CT;2025-01-01 05:30:00;5;1025.3;89;3.3;8;;148;;
000CT;2025-01-01 06:00:00;4.9;1024.9;90;3.4;9.7;;173;0;0
000CT;2025-01-01 06:30:00;5;1024.5;90;3.5;8;;176;;
000CT;2025-01-01 07:00:00;5;1024.2;90;3.5;6.4;;175;0;0
000CT;2025-01-01 07:30:00;5.1;1023.9;89;3.4;6.4;;209;;
000CT;2025-01-01 08:00:00;5.2;1024.3;89;3.6;6.4;;209;0;0
000CT;2025-01-01 08:30:00;5.3;1023.8;89;3.6;11.3;;202;;
000CT;2025-01-01 09:00:00;5.4;1023.6;89;3.8;11.3;;171;0;0
000CT;2025-01-01 09:30:00;5.8;1022.9;89;4.2;9.7;;196;;
000CT;2025-01-01 10:00:00;6.3;1023.2;89;4.6;11.3;;218;0;0
000CT;2025-01-01 10:30:00;6.4;1023.4;89;4.7;9.7;;139;;
000CT;2025-01-01 11:00:00;6.5;1022.9;88;4.7;11.3;;234;0;0
000CT;2025-01-01 11:30:00;6.7;1022.3;88;4.9;9.7;;148;;
