station_id;dh_utc;temperature_degC;pression_hPa;humidite_%;point_de_rosee_degC;vent_moyen_km/h;vent_rafales_km/h;vent_direction_deg;pluie_3h_mm;pluie_1h_mm
000CT;2025-04-01 00:00:00;10.2;1026.4;61;3;4.8;;33;0;0
000CT;2025-04-01 00:30:00;9.8;1026;62;2.8;6.4;;46;;
000CT;2025-04-01 01:00:00;9.5;1025.8;63;2.8;6.4;;346;0;0
000CT;2025-04-01 01:30:00;9.2;1025.4;64;2.7;4.8;;66;;
000CT;2025-04-01 02:00:00;8.9;1025.2;65;2.7;4.8;;56;0;0
000CT;2025-04-01 02:30:00;8.7;1025;65;2.5;3.2;;331;;
000CT;2025-04-01 03:00:00;8.7;1024.8;65;2.4;3.2;;35;0;0
000CT;2025-04-01 03:30:00;8.6;1024.7;65;2.4;4.8;;72;;
000CT;2025-04-01 04:00:00;8.4;1024.6;65;2.2;3.2;;36;0;0
000CT;2025-04-01 04:30:00;8.1;1024.5;66;2.1;4.8;;58;;
000CT;2025-04-01 05:00:00;8.1;1024.6;66;2.1;4.8;;63;0;0
000CT;2025-04-01 05:30:00;8.3;1024.6;64;1.9;6.4;;110;;
000CT;2025-04-01 06:00:00;8.3;1024.6;64;1.9;6.4;;98;0;0
000CT;2025-04-01 06:30:00;8.7;1024.7;63;2;6.4;;85;;
000CT;2025-04-01 07:00:00;9.1;1025;62;2.2;8;;86;0;0
000CT;2025-04-01 07:30:00;9.7;1025;60;2.3;8;;51;;
000CT;2025-04-01 08:00:00;10.3;1025;58;2.4;9.7;;103;0;0
000CT;2025-04-01 08:30:00;11.2;1024.8;56;2.7;6.4;;146;;
000CT;2025-04-01 09:00:00;11.9;1024.8;53;2.6;8;;53;0;0
000CT;2025-04-01 09:30:00;12.4;1024.5;52;2.8;9.7;;96;;
000CT;2025-04-01 10:00:00;12.6;1024.1;51;2.7;11.3;;55;0;0
000CT;2025-04-01 10:30:00;13.1;1023.7;47;2;11.3;;74;;
000CT;2025-04-01 11:00:00;13.8;1023.2;45;2.1;11.3;;106;0;0
000CT;2025-04-01 11:30:00;14;1022.9;45;2.2;12.9;;168;;
000CT;2025-04-01 12:00:00;14.8;1022.5;42;2;9.7;;49;0;0
000CT;2025-04-01 12:30:00;14.8;1022.1;40;1.3;12.9;;107;;
000CT;2025-04-01 13:00:00;14.5;1021.5;42;1.7;20.9;;37;0;0
000CT;2025-04-01 13:30:00;15.2;1021.2;40;1.6;12.9;;27;;
000CT;2025-04-01 14:00:00;15.1;1020.8;41;1.9;17.7;;82;0;0
000CT;2025-04-01 14:30:00;15.1;1020.2;40;1.5;16.1;;23;;
000CT;2025-04-01 15:00:00;15.2;1019.9;41;2;16.1;;113;0;0
000CT;2025-04-01 15:30:00;14.9;1019.8;38;0.7;16.1;;115;;
000CT;2025-04-01 16:00:00;14.7;1019.5;38;0.5;17.7;;120;0;0
000CT;2025-04-01 16:30:00;14.2;1019.4;37;-0.3;19.3;;28;;
000CT;2025-04-01 17:00:00;14;1019.6;40;0.6;9.7;;100;0;0
000CT;2025-04-01 17:30:00;13.4;1019.6;41;0.4;11.3;;104;;
000CT;2025-04-01 18:00:00;13.1;1019.9;42;0.4;11.3;;123;0;0
000CT;2025-04-01 18:30:00;12.6;1020.1;44;0.6;9.7;;61;;
000CT;2025-04-01 19:00:00;12.2;1020.1;46;0.9;12.9;;51;0;0
000CT;2025-04-01 19:30:00;11.8;1020.3;47;0.9;12.9;;37;;
000CT;2025-04-01 20:00:00;11.5;1020.2;49;1.1;11.3;;42;0;0
000CT;2025-04-01 20:30:00;11.2;1020.3;50;1.2;11.3;;49;;
000CT;2025-04-01 21:00:00;11;1020.1;51;1.2;9.7;;153;0;0
000CT;2025-04-01 21:30:00;10.8;1019.8;52;1.3;9.7;;78;;
000CT;2025-04-01 22:00:00;10.6;1019.6;53;1.4;9.7;;55;0;0
000CT;2025-04-01 22:30:00;10.4;1019.6;53;1.2;14.5;;71;;
000CT;2025-04-01 23:00:00;10.3;1019.5;54;1.4;11.3;;65;0;0
000CT;2025-04-01 23:30:00;10.1;1019.5;55;1.5;8;;58;;
000CT;2025-04-02 00:00:00;10.1;1019.4;56;1.7;12.9;;54;0;0
000CT;2025-04-02 00:30:00;9.9;1019.3;57;1.8;14.5;;64;;
000CT;2025-04-02 01:00:00;9.7;1018.8;58;1.8;11.3;;22;0;0
