station_id;dh_utc;temperature_degC;pression_hPa;humidite_%;point_de_rosee_degC;vent_moyen_km/h;vent_rafales_km/h;vent_direction_deg;pluie_3h_mm;pluie_1h_mm
000EW;2025-10-01 00:00:00;13.4;1025.7;79;9.8;0;;;0;0
000EW;2025-10-01 00:10:00;13.3;1025.8;79;9.8;0;;;;
000EW;2025-10-01 00:20:00;13.3;1025.8;79;9.8;0;;;;
000EW;2025-10-01 00:30:00;13.2;1025.8;79;9.7;0;;;;
000EW;2025-10-01 00:40:00;13.2;1025.8;80;9.8;0;;;;
000EW;2025-10-01 00:50:00;13.1;1025.7;80;9.7;0;;;;
000EW;2025-10-01 01:00:00;13.1;1025.7;80;9.7;0;;;0;0
000EW;2025-10-01 01:10:00;13.1;1025.7;80;9.7;0;;;;
000EW;2025-10-01 01:20:00;13.1;1025.7;80;9.7;0;;;;
000EW;2025-10-01 01:30:00;13;1025.7;81;9.8;0;;;;
000EW;2025-10-01 01:40:00;12.9;1025.7;81;9.8;0;;;;
000EW;2025-10-01 01:50:00;12.9;1025.7;81;9.8;0;;;;
000EW;2025-10-01 02:00:00;12.9;1025.7;81;9.7;0;;;0;0
000EW;2025-10-01 02:10:00;12.8;1025.7;81;9.7;0;;;;
000EW;2025-10-01 02:20:00;12.8;1025.8;81;9.6;0;;;;
000EW;2025-10-01 02:30:00;12.7;1025.8;82;9.7;0;;;;
000EW;2025-10-01 02:40:00;12.6;1025.7;82;9.6;0;;;;
000EW;2025-10-01 02:50:00;12.5;1025.7;82;9.5;0;;;;
000EW;2025-10-01 03:00:00;12.4;1025.6;83;9.6;0;;;0;0
000EW;2025-10-01 03:10:00;12.3;1025.6;83;9.5;0;;;;
000EW;2025-10-01 03:20:00;12.3;1025.6;84;9.7;0;;;;
000EW;2025-10-01 03:30:00;12.4;1025.6;84;9.8;0;;;;
000EW;2025-10-01 03:40:00;12.4;1025.6;84;9.8;0;;;;
000EW;2025-10-01 03:50:00;12.3;1025.6;84;9.7;0;;;;
000EW;2025-10-01 04:00:00;12.3;1025.7;84;9.7;0;;;0;0
000EW;2025-10-01 04:10:00;12.2;1025.9;84;9.5;0;;;;
000EW;2025-10-01 04:20:00;12.1;1025.9;84;9.4;0;;;;
000EW;2025-10-01 04:30:00;11.9;1026;84;9.3;0;;;;
000EW;2025-10-01 04:40:00;11.8;1026;85;9.4;0;;;;
000EW;2025-10-01 04:50:00;11.8;1026.1;85;9.4;0;;;;
000EW;2025-10-01 05:00:00;11.8;1026;85;9.3;0;;;0;0
000EW;2025-10-01 05:10:00;11.8;1026.1;85;9.3;0;;;;
000EW;2025-10-01 05:20:00;11.7;1026.3;85;9.3;0;;;;
000EW;2025-10-01 05:30:00;11.7;1026.3;85;9.2;0;;;;
000EW;2025-10-01 05:40:00;11.6;1026.4;86;9.3;0;;;;
000EW;2025-10-01 05:50:00;11.6;1026.6;86;9.3;0;;;;
000EW;2025-10-01 06:00:00;11.7;1026.6;86;9.4;0;;;0;0
000EW;2025-10-01 06:10:00;11.7;1026.6;86;9.4;0;;;;
000EW;2025-10-01 06:20:00;11.7;1026.7;86;9.4;0;;;;
000EW;2025-10-01 06:30:00;11.7;1026.7;86;9.4;0;;;;
000EW;2025-10-01 06:40:00;11.8;1026.8;86;9.5;0;;;;
000EW;2025-10-01 06:50:00;11.8;1026.8;86;9.6;0;;;;
000EW;2025-10-01 07:00:00;11.9;1026.9;86;9.6;0;;;0;0
000EW;2025-10-01 07:10:00;11.9;1026.9;86;9.7;0;;;;
000EW;2025-10-01 07:20:00;12.2;1026.9;86;9.9;0;;;;
000EW;2025-10-01 07:30:00;12.4;1027;85;10;0;;;;
000EW;2025-10-01 07:40:00;12.7;1027;84;10;0;;;;
000EW;2025-10-01 07:50:00;12.8;1027;83;10;0;;;;
000EW;2025-10-01 08:00:00;13;1027;83;10.2;0;;;0;0
000EW;2025-10-01 08:10:00;13.3;1027;82;10.3;0;;;;
000EW;2025-10-01 08:20:00;13.6;1027.2;81;10.4;0;;;;
000EW;2025-10-01 08:30:00;14;1027.1;80;10.6;0;;;;
000EW;2025-10-01 08:40:00;14.3;1027.2;78;10.5;0;;;;
000EW;2025-10-01 08:50:00;14.4;1027.2;77;10.4;0;;;;
000EW;2025-10-01 09:00:00;14.6;1027.3;78;10.8;0;;;0;0
000EW;2025-10-01 09:10:00;14.7;1027.2;77;10.7;0;;;;
000EW;2025-10-01 09:20:00;14.9;1027.2;76;10.7;0;;;;
000EW;2025-10-01 09:30:00;15.3;1027.4;75;10.9;0;;;;
000EW;2025-10-01 09:40:00;15.8;1027.4;74;11.2;0;;;;
000EW;2025-10-01 09:50:00;16.3;1027.4;70;10.8;0;;;;
000EW;2025-10-01 10:00:00;16.4;1027.4;70;11;0;;;0;0
000EW;2025-10-01 10:10:00;16.7;1027.4;68;10.7;0;;;;
000EW;2025-10-01 10:20:00;17.2;1027.3;65;10.5;0;;;;
000EW;2025-10-01 10:30:00;17.3;1027.3;64;10.5;0;;;;
000EW;2025-10-01 10:40:00;17.7;1027.3;62;10.3;0;;;;
000EW;2025-10-01 10:50:00;17.7;1027.2;61;10.1;0;;;;
000EW;2025-10-01 11:00:00;18.1;1027.2;59;10;0;;;0;0
000EW;2025-10-01 11:10:00;18.3;1027;57;9.7;0;;;;
000EW;2025-10-01 11:20:00;18.6;1027.1;57;9.9;0;;;;
000EW;2025-10-01 11:30:00;18.3;1027;56;9.4;0;;;;
000EW;2025-10-01 11:40:00;18.9;1027;54;9.4;0;;;;
000EW;2025-10-01 11:50:00;19.2;1026.8;52;9.1;0;;;;
000EW;2025-10-01 12:00:00;19.3;1026.8;52;9.2;0;;;0;0
000EW;2025-10-01 12:10:00;19.2;1026.8;52;9.1;0;;;;
000EW;2025-10-01 12:20:00;19.3;1026.7;52;9.2;0;;;;
000EW;2025-10-01 12:30:00;19.8;1026.7;50;9.1;0;;;;
000EW;2025-10-01 12:40:00;19.9;1026.7;51;9.4;0;;;;
000EW;2025-10-01 12:50:00;19.9;1026.7;50;9.2;0;;;;
000EW;2025-10-01 13:00:00;19.7;1026.7;51;9.3;0;;;0;0
000EW;2025-10-01 13:10:00;19.7;1026.6;50;8.9;0;;;;
000EW;2025-10-01 13:20:00;19.6;1026.7;51;9.1;0;;;;
000EW;2025-10-01 13:30:00;19.4;1026.5;51;9;0;;;;
000EW;2025-10-01 13:40:00;19.6;1026.5;51;9.2;0;;;;
000EW;2025-10-01 13:50:00;19.6;1026.4;51;9.1;0;;;;
000EW;2025-10-01 14:00:00;19.4;1026.4;51;9;0;;;0;0
000EW;2025-10-01 14:10:00;19.6;1026.4;52;9.5;0;;;;
000EW;2025-10-01 14:20:00;19.6;1026.5;50;8.8;0;;;;
000EW;2025-10-01 14:30:00;19.5;1026.4;51;9.1;0;;;;
000EW;2025-10-01 14:40:00;19.9;1026.2;50;9.2;0;;;;
000EW;2025-10-01 14:50:00;19.8;1026.3;51;9.3;0;;;;
000EW;2025-10-01 15:00:00;19.8;1026.2;51;9.3;0;;;0;0
000EW;2025-10-01 15:10:00;19.8;1026.2;51;9.4;0;;;;
000EW;2025-10-01 15:20:00;19.6;1026.1;52;9.4;0;;;;
000EW;2025-10-01 15:30:00;19.6;1026.1;52;9.5;0;;;;
000EW;2025-10-01 15:40:00;19.6;1026.1;52;9.5;0;;;;
000EW;2025-10-01 15:50:00;19.6;1026.2;51;9.2;0;;;;
000EW;2025-10-01 16:00:00;19.4;1026.2;52;9.3;0;;;0;0
000EW;2025-10-01 16:10:00;19.3;1026.2;53;9.5;0;;;;
000EW;2025-10-01 16:20:00;19.1;1026.2;53;9.3;0;;;;
000EW;2025-10-01 16:30:00;19.2;1026.2;53;9.4;0;;;;
000EW;2025-10-01 16:40:00;19.2;1026.1;54;9.6;0;;;;
000EW;2025-10-01 16:50:00;19;1026.1;55;9.7;0;;;;
000EW;2025-10-01 17:00:00;18.9;1026.2;56;9.9;0;;;0;0
000EW;2025-10-01 17:10:00;18.7;1026.2;58;10.3;0;;;;
000EW;2025-10-01 17:20:00;18.6;1026.4;59;10.4;0;;;;
000EW;2025-10-01 17:30:00;18.4;1026.4;59;10.3;0;;;;
000EW;2025-10-01 17:40:00;18.3;1026.3;60;10.4;0;;;;
000EW;2025-10-01 17:50:00;18.2;1026.5;60;10.3;0;;;;
000EW;2025-10-01 18:00:00;18.1;1026.5;61;10.4;0;;;0;0
000EW;2025-10-01 18:10:00;17.9;1026.7;62;10.5;0;;;;
000EW;2025-10-01 18:20:00;17.7;1026.7;62;10.3;0;;;;
000EW;2025-10-01 18:30:00;17.6;1026.7;63;10.4;0;;;;
000EW;2025-10-01 18:40:00;17.4;1026.6;63;10.3;0;;;;
000EW;2025-10-01 18:50:00;17.3;1026.7;64;10.5;0;;;;
000EW;2025-10-01 19:00:00;17.2;1026.7;64;10.3;0;;;0;0
000EW;2025-10-01 19:10:00;17.2;1026.8;65;10.5;0;;;;
000EW;2025-10-01 19:20:00;17.1;1026.8;66;10.7;0;;;;
000EW;2025-10-01 19:30:00;16.9;1026.8;67;10.8;0;;;;
000EW;2025-10-01 19:40:00;16.9;1026.8;67;10.8;0;;;;
000EW;2025-10-01 19:50:00;16.9;1026.8;67;10.7;0;;;;
000EW;2025-10-01 20:00:00;16.8;1026.8;67;10.6;0;;;0;0
000EW;2025-10-01 20:10:00;16.8;1026.7;67;10.6;0;;;;
000EW;2025-10-01 20:20:00;16.7;1026.8;67;10.6;0;;;;
000EW;2025-10-01 20:30:00;16.7;1026.8;67;10.5;0;;;;
000EW;2025-10-01 20:40:00;16.6;1026.7;67;10.4;0;;;;
000EW;2025-10-01 20:50:00;16.5;1026.8;68;10.6;0;;;;
000EW;2025-10-01 21:00:00;16.5;1026.9;68;10.6;0;;;0;0
000EW;2025-10-01 21:10:00;16.5;1026.7;68;10.6;0;;;;
000EW;2025-10-01 21:20:00;16.4;1026.5;68;10.5;0;;;;
000EW;2025-10-01 21:30:00;16.4;1026.5;69;10.7;0;;;;
000EW;2025-10-01 21:40:00;16.3;1026.5;69;10.6;0;;;;
000EW;2025-10-01 21:50:00;16.2;1026.5;70;10.7;0;;;;
000EW;2025-10-01 22:00:00;16;1026.5;70;10.5;0;;;0;0
000EW;2025-10-01 22:10:00;15.7;1026.7;72;10.7;0;;;;
000EW;2025-10-01 22:20:00;15.4;1026.7;73;10.6;0;;;;
000EW;2025-10-01 22:30:00;15.3;1026.5;73;10.5;0;;;;
000EW;2025-10-01 22:40:00;15.1;1026.6;74;10.5;0;;;;
000EW;2025-10-01 22:50:00;15;1026.5;75;10.6;0;;;;
000EW;2025-10-01 23:00:00;14.9;1026.5;75;10.5;0;;;0;0
000EW;2025-10-01 23:10:00;14.8;1026.5;75;10.4;0;;;;
000EW;2025-10-01 23:20:00;14.8;1026.3;75;10.4;0;;;;
000EW;2025-10-01 23:30:00;14.7;1026.4;75;10.3;0;;;;
000EW;2025-10-01 23:40:00;14.5;1026.3;76;10.3;0;;;;
000EW;2025-10-01 23:50:00;14.3;1026.3;76;10.2;0;;;;
000EW;2025-10-02 00:00:00;14.2;1026.4;77;10.2;0;;;0;0
000EW;2025-10-02 00:10:00;14.1;1026.5;77;10.1;0;;;;
000EW;2025-10-02 00:20:00;14;1026.5;77;10;0;;;;
000EW;2025-10-02 00:30:00;13.9;1026.5;78;10.1;0;;;;
000EW;2025-10-02 00:40:00;13.8;1026.6;78;10;0;;;;
000EW;2025-10-02 00:50:00;13.7;1026.6;78;9.9;0;;;;
000EW;2025-10-02 01:00:00;13.6;1026.7;78;9.8;0;;;0;0
000EW;2025-10-02 01:10:00;13.5;1026.7;79;9.9;0;;;;
000EW;2025-10-02 01:20:00;13.4;1026.6;79;9.9;0;;;;
000EW;2025-10-02 01:30:00;13.4;1026.4;78;9.6;0;;;;
000EW;2025-10-02 01:40:00;13.3;1026.4;78;9.6;0;;;;
000EW;2025-10-02 01:50:00;13.3;1026.3;77;9.3;0;;;;
000EW;2025-10-02 02:00:00;13.2;1026.2;78;9.5;0;;;0;0
000EW;2025-10-02 02:10:00;13.2;1026.1;78;9.4;0;;;;
000EW;2025-10-02 02:20:00;13.1;1026;78;9.4;0;;;;
000EW;2025-10-02 02:30:00;13;1025.9;78;9.3;0;;;;
000EW;2025-10-02 02:40:00;12.8;1025.9;79;9.3;0;;;;
000EW;2025-10-02 02:50:00;12.7;1026;79;9.2;0;;;;
000EW;2025-10-02 03:00:00;12.6;1025.9;80;9.2;0;;;0;0
000EW;2025-10-02 03:10:00;12.4;1025.9;80;9.1;0;;;;
000EW;2025-10-02 03:20:00;12.3;1025.9;81;9.1;0;;;;
000EW;2025-10-02 03:30:00;12.2;1026;81;9.1;0;;;;
000EW;2025-10-02 03:40:00;12.2;1026.1;81;9;0;;;;
000EW;2025-10-02 03:50:00;12.1;1026;81;8.9;0;;;;
000EW;2025-10-02 04:00:00;12;1026;81;8.8;0;;;0;0
000EW;2025-10-02 04:10:00;11.9;1026;81;8.8;0;;;;
000EW;2025-10-02 04:20:00;11.9;1026.1;80;8.5;0;;;;
000EW;2025-10-02 04:30:00;11.9;1026;80;8.5;0;;;;
000EW;2025-10-02 04:40:00;11.8;1026;80;8.5;0;;;;
000EW;2025-10-02 04:50:00;11.7;1026.1;79;8.2;0;;;;
000EW;2025-10-02 05:00:00;11.6;1026.1;80;8.3;0;;;0;0
000EW;2025-10-02 05:10:00;11.6;1026.2;80;8.2;0;;;;
000EW;2025-10-02 05:20:00;11.4;1026.2;80;8.1;0;;;;
000EW;2025-10-02 05:30:00;11.3;1026.3;80;8;0;;;;
000EW;2025-10-02 05:40:00;11.3;1026.2;80;8;0;;;;
000EW;2025-10-02 05:50:00;11.2;1026.4;81;8.1;0;;;;
000EW;2025-10-02 06:00:00;11.2;1026.4;81;8.1;0;;;0;0
000EW;2025-10-02 06:10:00;11.2;1026.3;81;8;0;;;;
000EW;2025-10-02 06:20:00;11.2;1026.4;80;7.8;0;;;;
000EW;2025-10-02 06:30:00;11.2;1026.5;80;7.8;0;;;;
000EW;2025-10-02 06:40:00;11.2;1026.5;80;7.8;0;;;;
000EW;2025-10-02 06:50:00;11.2;1026.7;79;7.7;0;;;;
000EW;2025-10-02 07:00:00;11.3;1026.8;79;7.8;0;;;0;0
000EW;2025-10-02 07:10:00;11.7;1026.8;78;8;0;;;;
000EW;2025-10-02 07:20:00;12.3;1026.9;75;8;0;;;;
000EW;2025-10-02 07:30:00;12.4;1026.8;74;7.9;0;;;;
000EW;2025-10-02 07:40:00;12.7;1026.8;74;8.2;0;;;;
000EW;2025-10-02 07:50:00;13.1;1026.8;73;8.3;0;;;;
000EW;2025-10-02 08:00:00;13.3;1026.8;72;8.4;0;;;0;0
000EW;2025-10-02 08:10:00;13.6;1026.7;69;8;0;;;;
000EW;2025-10-02 08:20:00;13.9;1026.7;67;7.9;0;;;;
000EW;2025-10-02 08:30:00;14.3;1026.7;65;7.8;0;;;;
000EW;2025-10-02 08:40:00;14.7;1026.7;64;7.9;0;;;;
000EW;2025-10-02 08:50:00;14.8;1026.5;62;7.6;0;;;;
000EW;2025-10-02 09:00:00;15;1026.5;62;7.8;0;;;0;0
000EW;2025-10-02 09:10:00;15.2;1026.5;60;7.5;0;;;;
000EW;2025-10-02 09:20:00;15.4;1026.4;59;7.4;0;;;;
000EW;2025-10-02 09:30:00;15.8;1026.5;58;7.5;0;;;;
000EW;2025-10-02 09:40:00;16.6;1026.5;55;7.5;0;;;;
000EW;2025-10-02 09:50:00;16.7;1026.5;53;7.1;0;;;;
000EW;2025-10-02 10:00:00;17.1;1026.2;49;6.3;0;;;0;0
000EW;2025-10-02 10:10:00;17.1;1026.1;50;6.5;0;;;;
000EW;2025-10-02 10:20:00;17.2;1025.9;50;6.7;0;;;;
000EW;2025-10-02 10:30:00;17.5;1025.8;49;6.7;0;;;;
000EW;2025-10-02 10:40:00;17.8;1025.7;49;7;0;;;;
000EW;2025-10-02 10:50:00;17.8;1025.5;48;6.6;0;;;;
000EW;2025-10-02 11:00:00;18;1025.4;48;6.8;0;;;0;0
000EW;2025-10-02 11:10:00;18.3;1025.4;46;6.5;0;;;;
000EW;2025-10-02 11:20:00;18.2;1025.3;42;5.1;0;;;;
000EW;2025-10-02 11:30:00;18.3;1025.3;42;5.1;0;;;;
000EW;2025-10-02 11:40:00;18.4;1025.3;41;4.9;0;;;;
000EW;2025-10-02 11:50:00;18.3;1025.1;43;5.5;0;;;;
000EW;2025-10-02 12:00:00;18.7;1025.1;41;5.1;0;;;0;0
000EW;2025-10-02 12:10:00;18.7;1025.1;41;5.2;0;;;;
000EW;2025-10-02 12:20:00;18.4;1024.9;43;5.6;0;;;;
000EW;2025-10-02 12:30:00;18.7;1024.8;42;5.5;0;;;;
000EW;2025-10-02 12:40:00;18.8;1024.8;41;5.2;0;;;;
000EW;2025-10-02 12:50:00;18.9;1024.6;43;6;0;;;;
000EW;2025-10-02 13:00:00;18.8;1024.7;41;5.2;0;;;0;0
