station_id;dh_utc;temperature_degC;pression_hPa;humidite_%;point_de_rosee_degC;vent_moyen_km/h;vent_rafales_km/h;vent_direction_deg;pluie_3h_mm;pluie_1h_mm
000EW;2025-07-01 00:00:00;28.8;1013.9;50;17.3;0;;;0;0
000EW;2025-07-01 00:10:00;28.6;1013.7;50;17.1;0;;;;
000EW;2025-07-01 00:20:00;28.3;1013.8;52;17.5;0;;;;
000EW;2025-07-01 00:30:00;28.2;1013.7;52;17.4;0;;;;
000EW;2025-07-01 00:40:00;28.1;1013.7;53;17.6;0;;;;
000EW;2025-07-01 00:50:00;28.2;1013.6;52;17.4;0;;;;
000EW;2025-07-01 01:00:00;28.1;1013.7;53;17.6;0;;;0;0
000EW;2025-07-01 01:10:00;27.9;1013.5;54;17.8;0;;;;
000EW;2025-07-01 01:20:00;27.7;1013.5;55;17.8;0;;;;
000EW;2025-07-01 01:30:00;27.5;1013.5;55;17.6;0;;;;
000EW;2025-07-01 01:40:00;27.3;1013.5;57;18.1;0;;;;
000EW;2025-07-01 01:50:00;27.1;1013.5;58;18.1;0;;;;
000EW;2025-07-01 02:00:00;26.9;1013.5;59;18.2;0;;;0;0
000EW;2025-07-01 02:10:00;26.7;1013.5;60;18.3;0;;;;
000EW;2025-07-01 02:20:00;26.7;1013.5;60;18.2;0;;;;
000EW;2025-07-01 02:30:00;26.6;1013.4;60;18.1;0;;;;
000EW;2025-07-01 02:40:00;26.4;1013.4;61;18.3;0;;;;
000EW;2025-07-01 02:50:00;26.4;1013.3;61;18.2;0;;;;
000EW;2025-07-01 03:00:00;26.3;1013.4;61;18.1;0;;;0;0
000EW;2025-07-01 03:10:00;26.2;1013.4;60;17.8;0;;;;
000EW;2025-07-01 03:20:00;26;1013.4;61;17.9;0;;;;
000EW;2025-07-01 03:30:00;25.8;1013.4;61;17.7;0;;;;
000EW;2025-07-01 03:40:00;25.6;1013.5;63;18;0;;;;
000EW;2025-07-01 03:50:00;25.5;1013.4;63;17.9;0;;;;
000EW;2025-07-01 04:00:00;25.3;1013.4;63;17.8;0;;;0;0
000EW;2025-07-01 04:10:00;25.3;1013.4;64;18;0;;;;
000EW;2025-07-01 04:20:00;25.3;1013.4;64;18;0;;;;
000EW;2025-07-01 04:30:00;25.2;1013.4;65;18.2;0;;;;
000EW;2025-07-01 04:40:00;25.1;1013.3;65;18;0;;;;
000EW;2025-07-01 04:50:00;25.2;1013.3;66;18.4;0;;;;
000EW;2025-07-01 05:00:00;25.2;1013.3;66;18.4;0;;;0;0
000EW;2025-07-01 05:10:00;25.1;1013.4;67;18.5;0;;;;
000EW;2025-07-01 05:20:00;25;1013.4;67;18.4;0;;;;
000EW;2025-07-01 05:30:00;25.1;1013.4;67;18.5;0;;;;
000EW;2025-07-01 05:40:00;25.1;1013.3;66;18.3;0;;;;
000EW;2025-07-01 05:50:00;25.3;1013.5;65;18.2;0;;;;
000EW;2025-07-01 06:00:00;25.3;1013.4;65;18.3;0;;;0;0
000EW;2025-07-01 06:10:00;25.6;1013.5;65;18.5;0;;;;
000EW;2025-07-01 06:20:00;25.8;1013.5;64;18.4;0;;;;
