station_id;dh_utc;temperature_degC;pression_hPa;humidite_%;point_de_rosee_degC;vent_moyen_km/h;vent_rafales_km/h;vent_direction_deg;pluie_3h_mm;pluie_1h_mm
000EW;2025-01-01 00:00:00;5.3;1026.5;92;4.1;0.8;;225;0;0
000EW;2025-01-01 00:10:00;5.3;1026.4;92;4.1;0.8;;158;;
000EW;2025-01-01 00:20:00;5.3;1026.4;92;4.1;0;;;;
000EW;2025-01-01 00:30:00;5.3;1026.4;92;4.1;0.8;;180;;
000EW;2025-01-01 00:40:00;5.2;1026.2;92;4;0;;;;
000EW;2025-01-01 00:50:00;5.1;1026.1;92;3.9;0.8;;180;;
000EW;2025-01-01 01:00:00;5.1;1025.8;92;3.9;0.8;;248;0;0
000EW;2025-01-01 01:10:00;5.1;1025.7;92;3.9;0.8;;225;;
000EW;2025-01-01 01:20:00;5;1025.6;92;3.8;0.8;;203;;
000EW;2025-01-01 01:30:00;4.9;1025.5;92;3.8;0;;;;
000EW;2025-01-01 01:40:00;4.9;1025.3;92;3.8;0.8;;225;;
000EW;2025-01-01 01:50:00;4.9;1025.2;92;3.7;0.8;;270;;
000EW;2025-01-01 02:00:00;4.8;1025.1;91;3.4;0;;;0;0
000EW;2025-01-01 02:10:00;4.7;1024.9;91;3.4;1.6;;248;;
000EW;2025-01-01 02:20:00;4.6;1024.8;91;3.3;0;;;;
000EW;2025-01-01 02:30:00;4.5;1024.7;92;3.3;0.8;;203;;
000EW;2025-01-01 02:40:00;4.4;1024.7;92;3.3;0.8;;225;;
000EW;2025-01-01 02:50:00;4.4;1024.5;92;3.3;0;;;;
000EW;2025-01-01 03:00:00;4.4;1024.6;92;3.2;0;;;0;0
000EW;2025-01-01 03:10:00;4.4;1024.5;92;3.2;0;;;;
000EW;2025-01-01 03:20:00;4.3;1024.5;92;3.1;2.4;;259;;
000EW;2025-01-01 03:30:00;4.3;1024.6;93;3.3;0;;;;
000EW;2025-01-01 03:40:00;4.4;1024.5;93;3.4;0;;;;
000EW;2025-01-01 03:50:00;4.4;1024.3;92;3.3;0.8;;225;;
