station_id;dh_utc;temperature_degC;pression_hPa;humidite_%;point_de_rosee_degC;vent_moyen_km/h;vent_rafales_km/h;vent_direction_deg;pluie_3h_mm;pluie_1h_mm
000EW;2025-04-01 00:00:00;9.9;1024;62;3;0;;;0;0
000EW;2025-04-01 00:10:00;9.8;1023.9;62;2.8;0;;;;
000EW;2025-04-01 00:20:00;9.7;1023.9;63;3;0;;;;
000EW;2025-04-01 00:30:00;9.6;1023.8;63;2.9;0;;;;
000EW;2025-04-01 00:40:00;9.4;1023.7;64;3;0;;;;
000EW;2025-04-01 00:50:00;9.3;1023.7;64;2.8;0;;;;
000EW;2025-04-01 01:00:00;9.2;1023.5;64;2.7;0;;;0;0
000EW;2025-04-01 01:10:00;9.1;1023.4;65;2.8;0;;;;
000EW;2025-04-01 01:20:00;8.9;1023.3;65;2.7;0;;;;
000EW;2025-04-01 01:30:00;8.8;1023.1;66;2.8;0;;;;
000EW;2025-04-01 01:40:00;8.8;1023.1;66;2.8;0;;;;
000EW;2025-04-01 01:50:00;8.7;1023;66;2.7;0;;;;
000EW;2025-04-01 02:00:00;8.6;1023;66;2.6;0;;;0;0
000EW;2025-04-01 02:10:00;8.6;1022.9;66;2.6;0;;;;
000EW;2025-04-01 02:20:00;8.5;1022.9;66;2.5;0;;;;
000EW;2025-04-01 02:30:00;8.4;1022.8;66;2.5;0;;;;
000EW;2025-04-01 02:40:00;8.4;1022.7;66;2.5;0;;;;
000EW;2025-04-01 02:50:00;8.4;1022.7;66;2.4;0;;;;
000EW;2025-04-01 03:00:00;8.3;1022.6;66;2.4;0;;;0;0
000EW;2025-04-01 03:10:00;8.2;1022.5;66;2.2;0;;;;
000EW;2025-04-01 03:20:00;8.2;1022.5;66;2.2;0;;;;
000EW;2025-04-01 03:30:00;8.1;1022.4;66;2.1;0;;;;
000EW;2025-04-01 03:40:00;8;1022.4;67;2.2;0;;;;
000EW;2025-04-01 03:50:00;8;1022.5;67;2.2;0;;;;
000EW;2025-04-01 04:00:00;7.9;1022.5;67;2.2;0;;;0;0
000EW;2025-04-01 04:10:00;7.9;1022.5;67;2.1;0;;;;
000EW;2025-04-01 04:20:00;7.8;1022.5;67;2;0;;;;
000EW;2025-04-01 04:30:00;7.8;1022.4;67;2;0;;;;
000EW;2025-04-01 04:40:00;7.8;1022.4;67;2;0;;;;
000EW;2025-04-01 04:50:00;7.8;1022.4;67;2;0;;;;
000EW;2025-04-01 05:00:00;7.8;1022.4;66;1.8;0;;;0;0
000EW;2025-04-01 05:10:00;7.8;1022.5;66;1.8;0;;;;
000EW;2025-04-01 05:20:00;7.7;1022.4;66;1.7;0;;;;
000EW;2025-04-01 05:30:00;7.7;1022.4;66;1.7;0;;;;
000EW;2025-04-01 05:40:00;7.6;1022.5;66;1.7;0;;;;
000EW;2025-04-01 05:50:00;7.6;1022.5;67;1.9;0;;;;
000EW;2025-04-01 06:00:00;7.6;1022.5;67;1.8;0;;;0;0
000EW;2025-04-01 06:10:00;7.6;1022.5;67;1.8;0;;;;
000EW;2025-04-01 06:20:00;7.5;1022.5;67;1.8;0;;;;
000EW;2025-04-01 06:30:00;7.5;1022.6;67;1.8;0;;;;
000EW;2025-04-01 06:40:00;7.7;1022.7;67;1.9;0;;;;
000EW;2025-04-01 06:50:00;7.8;1022.8;66;1.9;0;;;;
000EW;2025-04-01 07:00:00;8.1;1022.7;65;1.9;0;;;0;0
000EW;2025-04-01 07:10:00;8.2;1022.8;65;2;0;;;;
000EW;2025-04-01 07:20:00;8.4;1022.8;64;2;0;;;;
000EW;2025-04-01 07:30:00;8.7;1022.9;63;2;0;;;;
000EW;2025-04-01 07:40:00;8.8;1022.8;62;2;0;;;;
000EW;2025-04-01 07:50:00;9.2;1022.9;62;2.3;0;;;;
000EW;2025-04-01 08:00:00;9.6;1022.9;61;2.5;0;;;0;0
000EW;2025-04-01 08:10:00;9.8;1022.8;59;2.2;0;;;;
000EW;2025-04-01 08:20:00;10.2;1022.7;59;2.5;0;;;;
000EW;2025-04-01 08:30:00;10.6;1022.7;57;2.4;0;;;;
000EW;2025-04-01 08:40:00;10.8;1022.8;57;2.7;0;;;;
000EW;2025-04-01 08:50:00;10.9;1022.7;56;2.5;0;;;;
000EW;2025-04-01 09:00:00;11.2;1022.6;56;2.7;0;;;0;0
000EW;2025-04-01 09:10:00;11.4;1022.6;55;2.7;0;;;;
000EW;2025-04-01 09:20:00;12.1;1022.5;54;3;0;;;;
000EW;2025-04-01 09:30:00;12.1;1022.4;53;2.8;0;;;;
000EW;2025-04-01 09:40:00;12.4;1022.2;53;3.1;0.8;;0;;
000EW;2025-04-01 09:50:00;12.6;1022;52;3;0;;;;
000EW;2025-04-01 10:00:00;12.6;1021.9;52;3;0;;;0;0
000EW;2025-04-01 10:10:00;13.1;1021.7;50;2.9;0;;;;
000EW;2025-04-01 10:20:00;13.2;1021.6;47;2.2;0;;;;
000EW;2025-04-01 10:30:00;13.4;1021.6;46;2;0;;;;
000EW;2025-04-01 10:40:00;13.5;1021.4;46;2.1;0;;;;
000EW;2025-04-01 10:50:00;13.7;1021.4;43;1.3;0;;;;
000EW;2025-04-01 11:00:00;13.9;1021.2;43;1.5;0;;;0;0
000EW;2025-04-01 11:10:00;14;1021.1;43;1.6;0;;;;
000EW;2025-04-01 11:20:00;14.2;1021.1;43;1.8;0.8;;23;;
000EW;2025-04-01 11:30:00;14.3;1020.8;43;1.9;0.8;;0;;
000EW;2025-04-01 11:40:00;14.5;1020.7;43;2.1;0.8;;68;;
000EW;2025-04-01 11:50:00;14.6;1020.5;43;2.2;0;;;;
000EW;2025-04-01 12:00:00;14.7;1020.4;43;2.2;0;;;0;0
000EW;2025-04-01 12:10:00;14.7;1020.3;42;1.9;0;;;;
000EW;2025-04-01 12:20:00;14.6;1020;40;1.2;0.8;;0;;
000EW;2025-04-01 12:30:00;14.8;1019.9;40;1.3;1.6;;23;;
000EW;2025-04-01 12:40:00;14.8;1019.9;41;1.7;0.8;;0;;
000EW;2025-04-01 12:50:00;14.9;1019.6;41;1.8;2.4;;34;;
000EW;2025-04-01 13:00:00;14.8;1019.4;42;2;4.8;;34;0;0
000EW;2025-04-01 13:10:00;15;1019.4;40;1.5;1.6;;338;;
000EW;2025-04-01 13:20:00;14.7;1019;41;1.6;2.4;;11;;
000EW;2025-04-01 13:30:00;15;1018.9;41;1.9;5.6;;0;;
000EW;2025-04-01 13:40:00;15.2;1018.9;40;1.7;3.2;;45;;
000EW;2025-04-01 13:50:00;15.5;1018.8;40;2;1.6;;68;;
000EW;2025-04-01 14:00:00;15;1018.6;41;1.9;4;;0;0;0
000EW;2025-04-01 14:10:00;15.3;1018.5;38;1;4;;0;;
000EW;2025-04-01 14:20:00;15.5;1018.3;38;1.2;4.8;;34;;
000EW;2025-04-01 14:30:00;15.4;1018.3;39;1.6;3.2;;0;;
000EW;2025-04-01 14:40:00;15.4;1017.9;39;1.5;4;;11;;
000EW;2025-04-01 14:50:00;15.3;1017.9;40;1.8;3.2;;11;;
000EW;2025-04-01 15:00:00;15.4;1017.8;39;1.5;4.8;;349;0;0
000EW;2025-04-01 15:10:00;15.3;1018;37;0.7;2.4;;338;;
000EW;2025-04-01 15:20:00;15.1;1017.7;37;0.5;4;;45;;
000EW;2025-04-01 15:30:00;15.1;1017.5;37;0.5;4;;0;;
000EW;2025-04-01 15:40:00;15.2;1017.4;36;0.2;3.2;;0;;
000EW;2025-04-01 15:50:00;14.9;1017.7;36;-0.1;4;;68;;
000EW;2025-04-01 16:00:00;14.4;1017.5;37;-0.1;5.6;;0;0;0
000EW;2025-04-01 16:10:00;14.5;1017.6;36;-0.4;4.8;;0;;
000EW;2025-04-01 16:20:00;14.4;1017.4;36;-0.4;4;;11;;
000EW;2025-04-01 16:30:00;14.4;1017.5;37;-0.1;4;;349;;
000EW;2025-04-01 16:40:00;14.1;1017.4;38;0;3.2;;11;;
000EW;2025-04-01 16:50:00;14.1;1017.3;39;0.4;4;;0;;
000EW;2025-04-01 17:00:00;13.7;1017.6;39;0;2.4;;79;0;0
000EW;2025-04-01 17:10:00;13.6;1017.6;40;0.2;4.8;;338;;
000EW;2025-04-01 17:20:00;13.5;1017.6;40;0.2;2.4;;360;;
000EW;2025-04-01 17:30:00;13.3;1017.5;40;-0;4;;0;;
000EW;2025-04-01 17:40:00;13.1;1017.6;41;0.2;3.2;;11;;
000EW;2025-04-01 17:50:00;13;1017.8;41;0.1;1.6;;0;;
000EW;2025-04-01 18:00:00;12.8;1017.8;42;0.2;0.8;;338;0;0
000EW;2025-04-01 18:10:00;12.7;1017.7;43;0.4;3.2;;0;;
000EW;2025-04-01 18:20:00;12.6;1017.9;43;0.3;3.2;;349;;
000EW;2025-04-01 18:30:00;12.4;1017.8;44;0.5;1.6;;56;;
000EW;2025-04-01 18:40:00;12.3;1017.9;44;0.4;0.8;;68;;
000EW;2025-04-01 18:50:00;12.2;1017.9;45;0.6;2.4;;349;;
000EW;2025-04-01 19:00:00;12.1;1017.9;46;0.8;1.6;;56;0;0
000EW;2025-04-01 19:10:00;11.9;1018;46;0.7;1.6;;0;;
000EW;2025-04-01 19:20:00;11.8;1018.1;47;0.9;0;;;;
000EW;2025-04-01 19:30:00;11.7;1018.2;47;0.8;1.6;;23;;
000EW;2025-04-01 19:40:00;11.6;1018.1;48;1;0.8;;23;;
000EW;2025-04-01 19:50:00;11.5;1018.2;49;1.2;2.4;;349;;
000EW;2025-04-01 20:00:00;11.4;1018;49;1.1;1.6;;23;0;0
000EW;2025-04-01 20:10:00;11.3;1018;49;1;0;;;;
000EW;2025-04-01 20:20:00;11.2;1018;50;1.2;0;;;;
000EW;2025-04-01 20:30:00;11.1;1017.9;50;1.1;1.6;;0;;
000EW;2025-04-01 20:40:00;11.1;1017.9;51;1.3;1.6;;0;;
000EW;2025-04-01 20:50:00;11;1017.9;51;1.3;0.8;;23;;
000EW;2025-04-01 21:00:00;10.9;1017.9;51;1.1;0;;;0;0
000EW;2025-04-01 21:10:00;10.8;1017.7;52;1.4;1.6;;0;;
000EW;2025-04-01 21:20:00;10.7;1017.6;52;1.3;1.6;;0;;
000EW;2025-04-01 21:30:00;10.7;1017.5;52;1.2;1.6;;0;;
000EW;2025-04-01 21:40:00;10.6;1017.4;52;1.2;2.4;;11;;
000EW;2025-04-01 21:50:00;10.6;1017.4;52;1.1;2.4;;45;;
000EW;2025-04-01 22:00:00;10.5;1017.4;53;1.3;2.4;;34;0;0
000EW;2025-04-01 22:10:00;10.4;1017.4;53;1.3;1.6;;34;;
000EW;2025-04-01 22:20:00;10.3;1017.4;53;1.2;1.6;;11;;
000EW;2025-04-01 22:30:00;10.3;1017.3;53;1.2;1.6;;0;;
000EW;2025-04-01 22:40:00;10.3;1017.4;53;1.2;0.8;;338;;
000EW;2025-04-01 22:50:00;10.3;1017.3;53;1.2;4;;11;;
000EW;2025-04-01 23:00:00;10.3;1017.4;54;1.4;1.6;;0;0;0
000EW;2025-04-01 23:10:00;10.2;1017.4;54;1.3;2.4;;0;;
000EW;2025-04-01 23:20:00;10.2;1017.2;54;1.3;1.6;;11;;
000EW;2025-04-01 23:30:00;10.1;1017.3;55;1.5;2.4;;0;;
000EW;2025-04-01 23:40:00;10.1;1017.3;55;1.4;2.4;;0;;
000EW;2025-04-01 23:50:00;10;1017.3;56;1.6;2.4;;0;;
000EW;2025-04-02 00:00:00;9.9;1017.2;56;1.6;1.6;;68;0;0
000EW;2025-04-02 00:10:00;9.9;1017.2;57;1.8;0.8;;0;;
000EW;2025-04-02 00:20:00;9.8;1017.1;57;1.7;2.4;;34;;
000EW;2025-04-02 00:30:00;9.7;1017.1;57;1.6;4;;0;;
000EW;2025-04-02 00:40:00;9.7;1017;58;1.8;2.4;;23;;
000EW;2025-04-02 00:50:00;9.6;1016.9;58;1.8;0.8;;0;;
000EW;2025-04-02 01:00:00;9.6;1016.8;59;1.9;1.6;;0;0;0
000EW;2025-04-02 01:10:00;9.5;1016.6;59;1.9;1.6;;0;;
000EW;2025-04-02 01:20:00;9.4;1016.6;59;1.8;1.6;;45;;
000EW;2025-04-02 01:30:00;9.4;1016.5;59;1.8;2.4;;0;;
000EW;2025-04-02 01:40:00;9.4;1016.4;59;1.8;2.4;;0;;
000EW;2025-04-02 01:50:00;9.3;1016.3;60;1.9;2.4;;45;;
000EW;2025-04-02 02:00:00;9.3;1016.5;60;1.9;0.8;;338;0;0
000EW;2025-04-02 02:10:00;9.2;1016.2;60;1.8;0.8;;68;;
000EW;2025-04-02 02:20:00;9.2;1016.3;60;1.8;0.8;;45;;
000EW;2025-04-02 02:30:00;9.1;1016.2;61;1.9;0;;;;
000EW;2025-04-02 02:40:00;9;1016.2;61;1.9;0;;;;
000EW;2025-04-02 02:50:00;8.9;1016.1;61;1.8;0;;;;
000EW;2025-04-02 03:00:00;8.9;1015.9;61;1.8;0;;;0;0
000EW;2025-04-02 03:10:00;8.8;1016;61;1.7;0;;;;
000EW;2025-04-02 03:20:00;8.8;1015.8;61;1.7;0;;;;
000EW;2025-04-02 03:30:00;8.7;1015.8;61;1.6;0;;;;
000EW;2025-04-02 03:40:00;8.6;1015.7;62;1.7;0;;;;
000EW;2025-04-02 03:50:00;8.5;1015.6;62;1.6;0;;;;
000EW;2025-04-02 04:00:00;8.4;1015.7;62;1.6;0;;;0;0
000EW;2025-04-02 04:10:00;8.4;1015.6;62;1.5;0.8;;23;;
000EW;2025-04-02 04:20:00;8.3;1015.5;62;1.5;0.8;;23;;
000EW;2025-04-02 04:30:00;8.3;1015.5;63;1.7;0;;;;
000EW;2025-04-02 04:40:00;8.2;1015.6;63;1.6;0;;;;
000EW;2025-04-02 04:50:00;8.2;1015.6;63;1.5;0;;;;
000EW;2025-04-02 05:00:00;8.1;1015.7;63;1.4;0;;;0;0
