station_id;dh_utc;temperature_degC;pression_hPa;humidite_%;point_de_rosee_degC;vent_moyen_km/h;vent_direction_deg;pluie_1h_mm;pleut_il
000CT;01/10/2025 00:00;13.5;1028.0;78.0;9.7;6.4;338.0;0.0;0
000CT;01/10/2025 01:00;13.1;1028.0;80.0;9.7;4.8;24.0;0.0;0
000CT;01/10/2025 02:00;13.1;1027.9;80.0;9.7;4.8;20.0;0.0;0
000CT;01/10/2025 03:00;12.8;1027.8;81.0;9.7;4.8;50.0;0.0;0
000CT;01/10/2025 04:00;12.4;1027.9;83.0;9.6;4.8;21.0;0.0;0
000CT;01/10/2025 05:00;12.2;1028.3;83.0;9.4;3.2;350.0;0.0;0
000CT;01/10/2025 06:00;12.1;1028.7;84.0;9.4;3.2;346.0;0.0;0
000CT;01/10/2025 07:00;12.2;1029.0;84.0;9.6;1.6;316.0;0.0;0
000CT;01/10/2025 08:00;12.9;1029.2;82.0;9.9;3.2;329.0;0.0;0
000CT;01/10/2025 09:00;14.2;1029.4;78.0;10.4;4.8;16.0;0.0;0
000CT;01/10/2025 10:00;16.3;1029.6;70.0;10.8;3.2;331.0;0.0;0
000CT;01/10/2025 11:00;17.7;1029.3;61.0;10.1;3.2;126.0;0.0;0
000CT;01/10/2025 12:00;18.7;1029.1;52.0;8.6;3.2;144.0;0.0;0
000CT;01/10/2025 13:00;19.7;1028.8;50.0;9.0;3.2;339.0;0.0;0
000CT;01/10/2025 14:00;19.7;1028.6;51.0;9.3;4.8;69.0;0.0;0
000CT;01/10/2025 15:00;19.9;1028.4;51.0;9.4;3.2;94.0;0.0;0
000CT;01/10/2025 16:00;19.2;1028.3;54.0;9.7;6.4;95.0;0.0;0
000CT;01/10/2025 17:00;18.8;1028.4;55.0;9.5;3.2;13.0;0.0;0
000CT;01/10/2025 18:00;18.2;1028.7;59.0;10.0;3.2;106.0;0.0;0
000CT;01/10/2025 19:00;17.5;1028.9;62.0;10.1;1.6;98.0;0.0;0
000CT;01/10/2025 20:00;17.2;1029.0;65.0;10.5;1.6;139.0;0.0;0
000CT;01/10/2025 21:00;16.9;1029.0;65.0;10.3;0.0;99.0;0.0;0
000CT;01/10/2025 22:00;16.7;1028.7;66.0;10.3;4.8;159.0;0.0;0
000CT;01/10/2025 23:00;15.9;1028.6;71.0;10.6;0.0;138.0;0.0;0
000CT;02/10/2025 00:00;15.3;1028.6;73.0;10.5;0.0;148.0;0.0;0
000CT;02/10/2025 01:00;14.9;1028.8;74.0;10.3;0.0;149.0;0.0;0
000CT;02/10/2025 02:00;14.4;1028.3;73.0;9.6;1.6;140.0;0.0;0
000CT;02/10/2025 03:00;13.8;1028.1;76.0;9.6;1.6;140.0;0.0;0
000CT;02/10/2025 04:00;13.3;1028.1;77.0;9.3;1.6;143.0;0.0;0
000CT;02/10/2025 05:00;13.0;1028.2;77.0;9.1;0.0;159.0;0.0;0
000CT;02/10/2025 06:00;12.4;1028.4;77.0;8.5;0.0;173.0;0.0;0
000CT;02/10/2025 07:00;12.8;1028.9;73.0;8.1;1.6;115.0;0.0;0
000CT;02/10/2025 08:00;13.8;1029.0;68.0;8.0;4.8;143.0;0.0;0
000CT;02/10/2025 09:00;15.6;1028.8;59.0;7.6;4.8;271.0;0.0;0
000CT;02/10/2025 10:00;16.9;1028.3;49.0;6.1;4.8;74.0;0.0;0
000CT;02/10/2025 11:00;17.5;1027.6;47.0;6.1;6.4;157.0;0.0;0
000CT;02/10/2025 12:00;18.6;1027.3;44.0;6.1;3.2;136.0;0.0;0
000CT;02/10/2025 13:00;19.2;1026.7;42.0;5.9;3.2;59.0;0.0;0
000CT;02/10/2025 14:00;18.9;1026.0;43.0;6.0;4.8;55.0;0.0;0
000CT;02/10/2025 15:00;18.6;1025.3;45.0;6.4;3.2;177.0;0.0;0
000CT;02/10/2025 16:00;17.8;1025.1;45.0;5.7;4.8;153.0;0.0;0
000CT;02/10/2025 17:00;17.2;1024.8;49.0;6.4;4.8;161.0;0.0;0
000CT;02/10/2025 18:00;16.6;1024.9;52.0;6.7;4.8;117.0;0.0;0
000CT;02/10/2025 19:00;16.1;1024.8;55.0;7.0;3.2;130.0;0.0;0
000CT;02/10/2025 20:00;15.6;1024.4;55.0;6.6;4.8;141.0;0.0;0
000CT;02/10/2025 21:00;15.2;1024.3;56.0;6.4;3.2;164.0;0.0;0
000CT;02/10/2025 22:00;14.9;1023.2;58.0;6.7;4.8;140.0;0.0;0
000CT;02/10/2025 23:00;14.6;1022.7;60.0;6.9;3.2;150.0;0.0;0
000CT;03/10/2025 00:00;14.4;1022.7;61.0;7.0;3.2;167.0;0.0;0
000CT;03/10/2025 01:00;14.1;1021.9;62.0;6.9;6.4;163.0;0.0;0
000CT;03/10/2025 02:00;13.8;1022.2;64.0;7.1;1.6;223.0;0.0;0
000CT;03/10/2025 03:00;13.7;1021.6;65.0;7.3;1.6;165.0;0.0;0
000CT;03/10/2025 04:00;13.6;1020.8;66.0;7.3;3.2;146.0;0.0;0
000CT;03/10/2025 05:00;13.2;1020.6;69.0;7.6;3.2;164.0;0.0;0
000CT;03/10/2025 06:00;12.8;1020.2;71.0;7.6;3.2;229.0;0.0;0
000CT;03/10/2025 07:00;13.1;1020.1;70.0;7.7;6.4;153.0;0.0;0
000CT;03/10/2025 08:00;13.3;1020.0;69.0;7.7;3.2;175.0;0.0;0
000CT;03/10/2025 09:00;13.8;1019.5;66.0;7.6;6.4;168.0;0.0;0
000CT;03/10/2025 10:00;14.9;1019.0;64.0;8.1;6.4;188.0;0.0;0
000CT;03/10/2025 11:00;15.3;1018.8;63.0;8.3;4.8;169.0;0.0;0
000CT;03/10/2025 12:00;15.9;1018.3;63.0;8.9;4.8;178.0;0.0;0
000CT;03/10/2025 13:00;16.0;1017.7;69.0;10.3;1.6;155.0;0.0;0
000CT;03/10/2025 14:00;15.9;1016.9;72.0;10.8;6.4;134.0;0.2;1
000CT;03/10/2025 15:00;16.0;1016.3;75.0;11.6;6.4;169.0;0.2;1
000CT;03/10/2025 16:00;15.2;1016.0;84.0;12.5;6.4;180.0;0.8;1
000CT;03/10/2025 17:00;14.8;1015.8;89.0;13.0;8.0;192.0;1.2;1
000CT;03/10/2025 18:00;14.8;1015.6;90.0;13.2;6.4;184.0;1.4;1
000CT;03/10/2025 19:00;15.1;1014.9;91.0;13.7;8.0;137.0;0.4;1
000CT;03/10/2025 20:00;15.5;1014.4;91.0;14.0;8.0;166.0;0.2;1
000CT;03/10/2025 21:00;16.2;1013.2;92.0;14.9;6.4;166.0;0.0;0
000CT;03/10/2025 23:00;17.8;1010.8;91.0;16.3;8.0;153.0;0.0;0
000CT;04/10/2025 00:00;18.3;1009.8;90.0;16.7;11.3;182.0;0.0;0
000CT;04/10/2025 01:00;18.7;1008.8;88.0;16.7;9.7;180.0;0.0;0
000CT;04/10/2025 02:00;18.8;1008.1;87.0;16.6;12.9;5.0;0.0;0
