station_id;dh_utc;temperature_degC;pression_hPa;humidite_%;point_de_rosee_degC;vent_moyen_km/h;vent_rafales_km/h;vent_direction_deg;pluie_3h_mm;pluie_1h_mm
ME098;2025-01-01 00:00:00;6.1;1022.9;93;5;0;;355;;0
ME098;2025-01-01 00:10:00;6.1;1022.9;93;5;0;;355;;
ME098;2025-01-01 00:20:00;6.1;1022.9;92;5;0;;355;;
ME098;2025-01-01 00:30:00;6.1;1022.9;92;5;0;;355;;
ME098;2025-01-01 00:40:00;6;1022.8;92;5;0;;355;;
ME098;2025-01-01 00:50:00;6;1022.4;92;5;0;;355;;
ME098;2025-01-01 01:00:00;5.9;1022.4;91;4.4;0;;355;;0
ME098;2025-01-01 01:10:00;5.9;1022.2;91;4.4;0;;355;;
ME098;2025-01-01 01:20:00;5.8;1022.1;91;4.4;0;;355;;
ME098;2025-01-01 01:30:00;5.8;1021.9;91;4.4;0;;355;;
ME098;2025-01-01 01:40:00;5.8;1021.8;91;4.4;0;;355;;
ME098;2025-01-01 01:50:00;5.7;1021.7;90;4.4;0;;355;;
ME098;2025-01-01 02:00:00;5.7;1021.5;90;4.4;0;;355;;0
ME098;2025-01-01 02:10:00;5.6;1021.4;90;3.9;0;;355;;
ME098;2025-01-01 02:20:00;5.6;1021.3;90;3.9;0;;355;;
ME098;2025-01-01 02:30:00;5.5;1021.3;90;3.9;0;;355;;
ME098;2025-01-01 02:40:00;5.4;1021.1;90;3.9;0;;355;;
ME098;2025-01-01 02:50:00;5.3;1021;90;3.9;0;;355;;
ME098;2025-01-01 03:00:00;5.3;1021;91;3.9;0;;355;;0
ME098;2025-01-01 03:10:00;5.3;1020.9;91;3.9;0;;355;;
ME098;2025-01-01 03:20:00;5.3;1021.1;91;3.9;0;;355;;
ME098;2025-01-01 03:30:00;5.3;1021;91;3.9;0;;355;;
ME098;2025-01-01 03:40:00;5.3;1020.8;91;3.9;0;;355;;
ME098;2025-01-01 03:50:00;5.3;1020.6;91;3.9;0;;355;;
ME098;2025-01-01 04:00:00;4.9;1020.7;90;3.3;;;355;;0
ME098;2025-01-01 04:10:00;;1020.6;;;;;;;
ME098;2025-01-01 04:20:00;;1020.5;;;;;;;
ME098;2025-01-01 04:30:00;;1020.4;;;;;;;
ME098;2025-01-01 04:40:00;;1020.3;;;;;;;
ME098;2025-01-01 04:50:00;;1020.3;;;;;;;
ME098;2025-01-01 05:00:00;;1020.1;;;;;;;0
ME098;2025-01-01 05:10:00;;1019.7;;;;;;;
ME098;2025-01-01 05:20:00;;1019.8;;;;;;;
ME098;2025-01-01 05:30:00;;1019.7;;;;;;;
ME098;2025-01-01 05:40:00;;1019.7;;;;;;;
ME098;2025-01-01 05:50:00;;1019.5;;;;;;;
ME098;2025-01-01 06:00:00;;1019.3;;;;;;;0
ME098;2025-01-01 06:10:00;;1019.1;;;;;;;
ME098;2025-01-01 06:20:00;;1018.9;;;;;;;
ME098;2025-01-01 06:30:00;;1018.9;;;;;;;
ME098;2025-01-01 06:40:00;;1018.6;;;;;;;
ME098;2025-01-01 06:50:00;;1018.5;;;;;;;
ME098;2025-01-01 07:00:00;;1018.4;;;;;;;0
ME098;2025-01-01 07:10:00;;1018.3;;;;;;;
ME098;2025-01-01 07:20:00;;1018.2;;;;;;;
ME098;2025-01-01 07:30:00;;1018.2;;;;;;;
ME098;2025-01-01 07:40:00;;1018.4;;;;;;;
ME098;2025-01-01 07:50:00;;1018.6;;;;;;;
ME098;2025-01-01 08:00:00;;1018.2;;;;;;;0
ME098;2025-01-01 08:10:00;;1018.2;;;;;;;
ME098;2025-01-01 08:20:00;;1018.3;;;;;;;
ME098;2025-01-01 08:30:00;;1018;;;;;;;
ME098;2025-01-01 08:40:00;;1018.1;;;;;;;
ME098;2025-01-01 08:50:00;;1017.9;;;;;;;
ME098;2025-01-01 09:00:00;5.9;1017.8;92;5;0;;355;;0
ME098;2025-01-01 09:10:00;6.1;1017.6;92;5;0;;355;;
ME098;2025-01-01 09:20:00;6.2;1017.5;92;5;0;;355;;
ME098;2025-01-01 09:30:00;6.3;1017.4;92;5;0;;355;;
ME098;2025-01-01 09:40:00;6.4;1017.5;92;5.6;0;;355;;
ME098;2025-01-01 09:50:00;6.6;1017.7;91;5;0;;355;;
ME098;2025-01-01 10:00:00;6.7;1017.8;91;5.6;0;;355;;0
ME098;2025-01-01 10:10:00;6.7;1017.9;91;5.6;0;;355;;
ME098;2025-01-01 10:20:00;6.8;1017.9;91;5.6;0;;355;;
ME098;2025-01-01 10:30:00;6.8;1017.8;91;5.6;0;;355;;
ME098;2025-01-01 10:40:00;6.8;1017.6;91;5.6;0;;355;;
ME098;2025-01-01 10:50:00;6.9;1017.4;90;5.6;0;;355;;
ME098;2025-01-01 11:00:00;6.9;1017.1;90;5.6;0;;355;;0
ME098;2025-01-01 11:10:00;6.9;1016.9;90;5.6;0;;355;;
ME098;2025-01-01 11:20:00;6.9;1016.8;90;5.6;0;;355;;
ME098;2025-01-01 11:30:00;7;1016.7;90;5.6;0;;355;;
ME098;2025-01-01 11:40:00;7.1;1016.6;90;5.6;0;;355;;
ME098;2025-01-01 11:50:00;7.1;1016.5;90;5.6;0;;355;;
