station_id;dh_utc;temperature_degC;pression_hPa;humidite_%;point_de_rosee_degC;vent_moyen_km/h;vent_rafales_km/h;vent_direction_deg;pluie_3h_mm;pluie_1h_mm
ME098;2025-04-01 00:00:00;10.6;1020.9;61;3.3;0;;167;;0
ME098;2025-04-01 00:10:00;10.5;1020.7;61;3.3;0;;167;;
ME098;2025-04-01 00:20:00;10.4;1020.7;61;3.3;0;;167;;
ME098;2025-04-01 00:30:00;10.3;1020.6;62;3.3;0;;167;;
ME098;2025-04-01 00:40:00;10.2;1020.5;62;3.3;0;;167;;
ME098;2025-04-01 00:50:00;10.1;1020.4;63;3.3;0;;167;;
ME098;2025-04-01 01:00:00;9.9;1020.3;63;3.3;0;;167;;0
ME098;2025-04-01 01:10:00;9.8;1020.2;63;2.8;0;;167;;
ME098;2025-04-01 01:20:00;9.7;1020.1;64;3.3;0;;167;;
ME098;2025-04-01 01:30:00;9.6;1019.9;64;2.8;0;;167;;
ME098;2025-04-01 01:40:00;9.5;1019.9;64;2.8;0;;167;;
ME098;2025-04-01 01:50:00;9.4;1019.8;64;2.8;0;;167;;
ME098;2025-04-01 02:00:00;9.3;1019.7;65;2.8;0;;167;;0
ME098;2025-04-01 02:10:00;9.2;1019.7;65;2.8;0;;167;;
ME098;2025-04-01 02:20:00;9.2;1019.7;65;2.8;0;;167;;
ME098;2025-04-01 02:30:00;9.1;1019.6;65;2.8;0;;167;;
ME098;2025-04-01 02:40:00;8.9;1019.5;66;2.8;0;;167;;
ME098;2025-04-01 02:50:00;8.8;1019.4;66;2.8;0;;167;;
ME098;2025-04-01 03:00:00;8.8;1019.4;66;2.8;0;;167;;0
ME098;2025-04-01 03:10:00;8.7;1019.4;66;2.8;0;;167;;
ME098;2025-04-01 03:20:00;8.7;1019.4;66;2.8;0;;167;;
ME098;2025-04-01 03:30:00;8.6;1019.3;66;2.8;0;;167;;
ME098;2025-04-01 03:40:00;8.6;1019.3;66;2.2;0;;167;;
ME098;2025-04-01 03:50:00;8.5;1019.2;66;2.2;0;;167;;
ME098;2025-04-01 04:00:00;8.5;1019.2;66;2.2;0;;167;;0
ME098;2025-04-01 04:10:00;8.4;1019.3;67;2.8;0;;167;;
ME098;2025-04-01 04:20:00;8.3;1019.2;67;2.2;0;;167;;
ME098;2025-04-01 04:30:00;8.3;1019.2;67;2.2;0;;167;;
ME098;2025-04-01 04:40:00;8.2;1019.1;67;2.2;0;;167;;
ME098;2025-04-01 04:50:00;8.2;1019.2;67;2.2;0;;167;;
ME098;2025-04-01 05:00:00;8.1;1019.3;67;2.2;0;;167;;0
