# METADATA:
# 000BV: Paris 5Ãšme - Tour Zamansky, Jussieu
# Source: www.infoclimat.fr
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;humidite;point_de_rosee;vent_moyen;vent_rafales;vent_direction;pluie_3h;pluie_1h
station_id;dh_utc;degC;hPa;%;degC;km/h;km/h;deg;mm;mm
000BV;2026-06-10 00:00:00;13.6;1016.9;77;9.4;11.3;;304;;0
000BV;2026-06-10 00:10:00;13.6;1016.8;76;9.4;17.7;;312;;
000BV;2026-06-10 00:20:00;13.4;1016.9;72;8.3;16.1;;316;;
000BV;2026-06-10 00:30:00;13.3;1016.9;70;7.8;11.3;;342;;
000BV;2026-06-10 00:40:00;13.3;1016.8;70;7.8;4.8;;344;;
000BV;2026-06-10 00:50:00;13.4;1016.6;70;7.8;1.6;;38;;
000BV;2026-06-10 01:00:00;13.4;1016.5;70;8.3;1.6;;323;;0
000BV;2026-06-10 01:10:00;13.5;1016.5;69;7.8;1.6;;275;;
000BV;2026-06-10 01:20:00;13.7;1016.4;69;8.3;1.6;;101;;
000BV;2026-06-10 01:40:00;13.8;1016.4;68;7.8;4.8;;214;;
000BV;2026-06-10 01:50:00;13.8;1016.4;69;8.3;3.2;;192;;
000BV;2026-06-10 02:00:00;13.8;1016.4;70;8.3;3.2;;360;;0
000BV;2026-06-10 02:10:00;13.8;1016.4;70;8.3;6.4;;303;;
000BV;2026-06-10 02:20:00;13.7;1016.3;70;8.3;8;;288;;
000BV;2026-06-10 02:30:00;13.6;1016.2;70;8.3;9.7;;295;;
000BV;2026-06-10 02:40:00;13.5;1016.2;72;8.3;8;;172;;
000BV;2026-06-10 02:50:00;13.3;1016.5;73;8.3;9.7;;336;;
000BV;2026-06-10 03:00:00;13.1;1016.5;75;8.9;9.7;;286;;0
000BV;2026-06-10 03:10:00;12.6;1016.4;78;8.9;9.7;;309;;
000BV;2026-06-10 03:20:00;12.6;1016.2;77;8.9;14.5;;300;;
000BV;2026-06-10 03:30:00;12.5;1016.3;76;8.3;11.3;;309;;
000BV;2026-06-10 03:40:00;12.5;1016.5;76;8.3;11.3;;330;;
000BV;2026-06-10 03:50:00;12.3;1016.5;76;8.3;14.5;;84;;
000BV;2026-06-10 04:10:00;12.3;1016.6;77;8.3;12.9;;288;;
000BV;2026-06-10 04:20:00;12.2;1016.5;77;8.3;12.9;;310;;
000BV;2026-06-10 04:30:00;12.2;1016.5;77;8.3;11.3;;40;;
000BV;2026-06-10 04:40:00;12.2;1016.5;77;8.3;11.3;;250;;
000BV;2026-06-10 04:50:00;12.1;1016.6;77;8.3;9.7;;319;;
000BV;2026-06-10 05:00:00;11.9;1016.6;77;7.8;12.9;;311;;
000BV;2026-06-10 05:10:00;11.9;1016.8;78;8.3;9.7;;73;;
000BV;2026-06-10 05:20:00;11.9;1016.8;77;7.8;12.9;;311;;
000BV;2026-06-10 05:30:00;11.8;1017;76;7.8;14.5;;311;;
