# METADATA:
# 000CT: Paris 6Ãšme - Saint Germain des PrÃ©s
# Source: www.infoclimat.fr
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;humidite;point_de_rosee;vent_moyen;vent_rafales;vent_direction;pluie_3h;pluie_1h
station_id;dh_utc;degC;hPa;%;degC;km/h;km/h;deg;mm;mm
000CT;2026-06-10 00:00:00;14.8;1020.1;75;10.4;8;;317;0;0
000CT;2026-06-10 00:30:00;14.5;1019.9;69;8.9;8;;5;;
000CT;2026-06-10 01:00:00;14.7;1019.6;67;8.7;1.6;;311;0;0
000CT;2026-06-10 01:30:00;15;1019.6;66;8.7;3.2;;318;;
000CT;2026-06-10 02:00:00;14.9;1019.5;69;9.3;3.2;;301;0;0
000CT;2026-06-10 02:30:00;14.7;1019.4;70;9.3;4.8;;291;;
000CT;2026-06-10 03:00:00;14.3;1019.6;74;9.7;4.8;;327;0.2;0.2
000CT;2026-06-10 03:30:00;13.6;1019.5;75;9.2;6.4;;281;;
000CT;2026-06-10 04:00:00;13.4;1019.7;74;8.9;8;;291;0;0.2
000CT;2026-06-10 04:30:00;13.4;1019.7;76;9.3;3.2;;276;;
000CT;2026-06-10 05:00:00;13.3;1019.8;75;8.9;8;;336;0;0
000CT;2026-06-10 05:30:00;13.2;1020.3;75;8.8;6.4;;276;;
000CT;2026-06-10 06:00:00;13.1;1020.5;74;8.5;8;;311;0.2;0
000CT;2026-06-10 06:30:00;13.2;1020.6;73;8.5;6.4;;334;;
000CT;2026-06-10 07:00:00;13.7;1020.7;71;8.6;6.4;;289;0;0
000CT;2026-06-10 07:30:00;14.2;1020.7;67;8.1;8;;317;;
000CT;2026-06-10 08:00:00;14.9;1020.6;62;7.7;8;;292;0;0
000CT;2026-06-10 08:30:00;15.7;1020.5;55;6.6;8;;324;;
000CT;2026-06-10 09:00:00;16.6;1020.5;56;7.7;6.4;;10;0;0
000CT;2026-06-10 09:30:00;15.9;1020.7;58;7.7;8;;300;;
000CT;2026-06-10 10:00:00;15.6;1020.9;62;8.3;6.4;;284;0;0
000CT;2026-06-10 10:30:00;16.5;1021;58;8.2;6.4;;259;;
000CT;2026-06-10 11:00:00;16.8;1020.9;52;6.9;6.4;;205;0;0
000CT;2026-06-10 11:30:00;17.6;1020.7;50;7.1;6.4;;329;;
