# METADATA:
# 000EW: Paris 20Ãšme - Porte de Vincennes
# Source: www.infoclimat.fr
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;humidite;point_de_rosee;vent_moyen;vent_rafales;vent_direction;pluie_3h;pluie_1h
station_id;dh_utc;degC;hPa;%;degC;km/h;km/h;deg;mm;mm
000EW;2026-06-10 00:00:00;15.3;1017.9;74;10.7;2.4;;259;0;0
000EW;2026-06-10 00:10:00;15.2;1017.8;74;10.6;1.6;;158;;
000EW;2026-06-10 00:20:00;15.2;1017.8;73;10.4;1.6;;45;;
000EW;2026-06-10 00:30:00;15;1017.8;68;9.1;3.2;;45;;
000EW;2026-06-10 00:40:00;15;1017.8;68;9.1;4;;56;;
000EW;2026-06-10 00:50:00;14.9;1017.6;68;9.1;1.6;;56;;
000EW;2026-06-10 01:00:00;14.8;1017.6;67;8.7;0.8;;45;0;0
000EW;2026-06-10 01:10:00;14.8;1017.4;67;8.7;0;;;;
000EW;2026-06-10 01:20:00;14.8;1017.4;67;8.7;0.8;;23;;
000EW;2026-06-10 01:30:00;14.8;1017.4;67;8.7;0.8;;23;;
000EW;2026-06-10 01:40:00;14.8;1017.4;67;8.7;0;;;;
000EW;2026-06-10 01:50:00;14.8;1017.3;68;8.9;0;;;;
000EW;2026-06-10 02:00:00;14.8;1017.3;68;8.9;0;;;0;0
000EW;2026-06-10 02:10:00;14.9;1017.3;67;8.8;0.8;;68;;
000EW;2026-06-10 02:20:00;15.1;1017.3;67;9;2.4;;203;;
000EW;2026-06-10 02:30:00;15.2;1017.2;67;9.1;1.6;;248;;
000EW;2026-06-10 02:40:00;15.2;1017.2;67;9.1;1.6;;270;;
000EW;2026-06-10 02:50:00;15.1;1017.3;68;9.2;2.4;;293;;
000EW;2026-06-10 03:00:00;15.1;1017.4;68;9.2;2.4;;349;0;0
000EW;2026-06-10 03:10:00;14.8;1017.4;71;9.6;3.2;;56;;
000EW;2026-06-10 03:20:00;14.4;1017.3;74;9.9;2.4;;236;;
000EW;2026-06-10 03:30:00;14.2;1017.3;75;9.8;2.4;;191;;
000EW;2026-06-10 03:40:00;14;1017.5;73;9.2;3.2;;56;;
000EW;2026-06-10 03:50:00;13.9;1017.5;73;9.2;3.2;;45;;
000EW;2026-06-10 04:00:00;13.9;1017.5;74;9.4;4;;11;0;0
000EW;2026-06-10 04:10:00;13.9;1017.6;75;9.6;1.6;;304;;
000EW;2026-06-10 04:20:00;13.9;1017.6;74;9.3;1.6;;156;;
000EW;2026-06-10 04:30:00;13.8;1017.5;73;9;2.4;;248;;
000EW;2026-06-10 04:40:00;13.8;1017.5;73;9;2.4;;68;;
000EW;2026-06-10 04:50:00;13.8;1017.6;72;8.8;2.4;;56;;
000EW;2026-06-10 05:00:00;13.7;1017.7;72;8.8;4;;113;0;0
000EW;2026-06-10 05:10:00;13.8;1017.8;73;9;2.4;;23;;
000EW;2026-06-10 05:20:00;13.8;1017.9;74;9.3;1.6;;90;;
000EW;2026-06-10 05:30:00;13.7;1018;73;9;4;;259;;
000EW;2026-06-10 05:40:00;13.6;1018.2;72;8.6;2.4;;236;;
000EW;2026-06-10 05:50:00;13.5;1018.2;71;8.3;4;;349;;
000EW;2026-06-10 06:00:00;13.4;1018.3;72;8.5;2.4;;349;0;0
000EW;2026-06-10 06:10:00;13.6;1018.4;72;8.6;3.2;;349;;
000EW;2026-06-10 06:20:00;13.5;1018.4;71;8.3;2.4;;79;;
000EW;2026-06-10 06:30:00;13.6;1018.4;72;8.6;4;;45;;
000EW;2026-06-10 06:40:00;13.7;1018.4;72;8.8;2.4;;45;;
000EW;2026-06-10 06:50:00;14;1018.5;71;8.8;3.2;;56;;
000EW;2026-06-10 07:00:00;14.3;1018.5;70;8.9;2.4;;68;0;0
